"taxon","(Intercept).x","qval","treat","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","genus","label","direction"
"ASV225",1,1,"All",0.153338811499355,-0.644496420887401,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,"No change"
"ASV221",1,0.330159551970683,"All",0.340720815314733,-0.83187842470278,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",NA,"No change"
"ASV164",1,1,"All",0.396617876364254,-0.8877754857523,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group",NA,"No change"
"ASV59",1,1,"All",-0.123920060724623,-0.367237548663423,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214.group",NA,"No change"
"ASV183",0.0100061275369827,0.00043811620949529,"All",1.11192793019226,-1.46445610346831,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter","Colidextribacter","Untreated"
"ASV192",6.51898259060683e-18,1.78934683640657e-26,"All",2.22884790192134,-2.72000551130938,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown","Oscillospiraceae unknown","Untreated"
"ASV181",0.0157783547523839,1,"All",-0.53980836906059,0.0486507596725439,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospirales_unknown","Oscillospirales_unknown",NA,"No change"
"ASV196",1.93046472265257e-19,5.27813678939617e-26,"All",3.0840346815193,-3.57519229090735,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter","Untreated"
"ASV70",1,1,"All",0.00180167115985164,-0.492959280547898,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae.Sedis",NA,"No change"
"ASV194",0.0519053952203371,0.000822070478011778,"All",1.27523317053635,-1.76639077992439,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium].coprostanoligenes.group","[Eubacterium].coprostanoligenes.group_unknown","[Eubacterium].coprostanoligenes.group unknown","Untreated"
"ASV66",2.79032831602962e-22,5.56218597086837e-29,"All",3.42589247915824,-3.91705008854628,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus","Untreated"
"ASV2",1,0.877375119302202,"All",0.0228737742914171,-0.514031383679463,"Bacteria","Firmicutes","Clostridia","Clostridia_unknown","Clostridia_unknown","Clostridia_unknown",NA,"No change"
"ASV76",1,1,"All",-0.205013082346256,-0.28614452704179,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",NA,"No change"
"ASV53",1,1,"All",-0.160384372083414,-0.330773237304632,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales_unknown","Gastranaerophilales_unknown",NA,"No change"
"ASV46",1,0.520342133432869,"All",0.221524128893474,-0.71268173828152,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"No change"
"ASV13",7.00377221157327e-56,7.41725558848595e-07,"All",3.15105496300943,1.32472839188435,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unknown","Muribaculaceae unknown","All"
