"taxon","(Intercept).x","qval","treat","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","genus","label","direction"
"ASV225",1,0.0337897847830727,"Colistin",0.15176132161957,1.98190118125126,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia","Colistin"
"ASV221",1,1,"Colistin",0.339143325434949,0.253196594643044,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",NA,"No change"
"ASV164",1,1,"Colistin",0.395040386484469,-0.401846921117275,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group",NA,"No change"
"ASV59",1,1,"Colistin",-0.125497550604407,0.118691015971602,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214.group",NA,"No change"
"ASV183",0.0106703303103259,1,"Colistin",1.11035044031247,-0.656639956346469,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",NA,"No change"
"ASV192",9.45605394978784e-18,6.20878884371877e-17,"Colistin",2.22727041204155,-2.23407694667436,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown","Oscillospiraceae unknown","Untreated"
"ASV181",0.014568642625596,0.034437094330543,"Colistin",-0.541385858940375,0.534579324307569,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospirales_unknown","Oscillospirales_unknown","Oscillospirales unknown","Colistin"
"ASV196",2.99491729438419e-19,5.62696466052019e-09,"Colistin",3.08245719163952,-2.81200485404834,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter","Untreated"
"ASV70",1,1,"Colistin",0.000224181280067404,0.131598720199116,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae.Sedis",NA,"No change"
"ASV194",0.0503533147373988,0.0581035103438456,"Colistin",1.27365568065656,-1.28046221528937,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium].coprostanoligenes.group","[Eubacterium].coprostanoligenes.group_unknown",NA,"No change"
"ASV66",1.63392719281495e-22,6.05759597163303e-22,"Colistin",3.42431498927845,-3.43112152391126,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus","Untreated"
"ASV2",1,1,"Colistin",0.0212962844116323,-0.028102819044438,"Bacteria","Firmicutes","Clostridia","Clostridia_unknown","Clostridia_unknown","Clostridia_unknown",NA,"No change"
"ASV76",1,1,"Colistin",-0.20659057222604,0.199784037593235,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",NA,"No change"
"ASV53",1,1,"Colistin",-0.161961861963198,0.155155327330393,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales_unknown","Gastranaerophilales_unknown",NA,"No change"
"ASV46",1,1,"Colistin",0.219946639013689,0.761575310875366,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"No change"
"ASV13",7.87933702955401e-57,0.00156632693739234,"Colistin",3.14947747312965,1.41531248626304,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unknown","Muribaculaceae unknown","Colistin"
"ASV26",2.31892931768138e-86,0.0856005615164122,"Colistin",2.7464968690212,0.741869270141419,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",NA,"No change"
"ASV10",6.83269799934203e-15,5.03883030222135e-13,"Colistin",1.16731624100635,-1.17412277563915,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides","Untreated"
"ASV50",1.16032971407017e-24,0.00343926534046766,"Colistin",-0.761108316673996,1.33237613362042,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter","Colistin"
"ASV1",1,1,"Colistin",0.402313915318644,-0.40912044995145,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"No change"
"ASV179",0.00014033293642218,1,"Colistin",1.36613968086369,-0.396385830979222,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",NA,"No change"
"ASV62",0.109745958684412,0.440116620569834,"Colistin",0.862830933917454,-0.731008032438271,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcaceae_unknown",NA,"No change"
"ASV191",1.90400811749003e-38,1.65777599937856e-36,"Colistin",3.0525074456571,-3.05931398028991,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus","Untreated"
"ASV209",1,0.000782879291179479,"Colistin",-0.439220734187177,2.18991932466095,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus","Colistin"
