"taxon","(Intercept).x","qval","treat","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","genus","label","direction"
"ASV225",1,0.00751908801247517,"Gentamycin",0.282255155125408,2.20891342416386,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia","Gentamycin"
"ASV221",1,1,"Gentamycin",0.469637158940786,0.539809146006357,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",NA,"No change"
"ASV164",1,1,"Gentamycin",0.525534219990307,-1.00139772952262,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group",NA,"No change"
"ASV59",1,0.355685553743676,"Gentamycin",0.00499628290143006,-0.758118664657726,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214.group",NA,"No change"
"ASV183",0.00157901110585748,1,"Gentamycin",1.24084427381831,-0.288934383361523,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",NA,"No change"
"ASV192",8.86142748980667e-21,1,"Gentamycin",2.35776424554739,0.321516537326277,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown",NA,"No change"
"ASV189",2.78471424268763e-24,1,"Gentamycin",-0.630614483168159,0.374473431369463,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",NA,"No change"
"ASV181",0.203188801918552,0.805096505713165,"Gentamycin",-0.410892025434537,-0.342230356321759,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospirales_unknown","Oscillospirales_unknown",NA,"No change"
"ASV196",4.87854931736418e-22,0.208744262785024,"Gentamycin",3.21295102514535,-1.45871918628862,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter",NA,"No change"
"ASV70",1,1,"Gentamycin",0.130718014785905,0.154750973635841,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae.Sedis",NA,"No change"
"ASV220",2.78471424268763e-24,7.99788979901523e-14,"Gentamycin",-0.63061448316816,2.21600746005352,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","[Eubacterium].siraeum.group","[Eubacterium].siraeum.group","Gentamycin"
"ASV194",0.0258113085246779,0.000343544807847639,"Gentamycin",1.4041495141624,-2.01864245980671,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium].coprostanoligenes.group","[Eubacterium].coprostanoligenes.group_unknown","[Eubacterium].coprostanoligenes.group unknown","Untreated"
"ASV66",1.11960290840961e-22,3.84415943037798e-18,"Gentamycin",3.55480882278429,-4.03067233231661,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus","Untreated"
"ASV2",1,0.0429065940779827,"Gentamycin",0.15179011791747,-0.904912499673766,"Bacteria","Firmicutes","Clostridia","Clostridia_unknown","Clostridia_unknown","Clostridia_unknown","Clostridia unknown","Untreated"
"ASV76",1,0.738330390658415,"Gentamycin",-0.0760967387202032,-0.677025643036093,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",NA,"No change"
"ASV53",1,0.355685553743676,"Gentamycin",-0.0314680284573613,1.10909965079862,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales_unknown","Gastranaerophilales_unknown",NA,"No change"
"ASV51",2.78471424268763e-24,1,"Gentamycin",-0.630614483168159,0.235843995257474,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae.RC9.gut.group",NA,"No change"
"ASV46",1,0.268039757996014,"Gentamycin",0.350440472519526,1.38196012881966,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,"No change"
"ASV13",1.94648534957725e-55,1,"Gentamycin",3.27997130663549,0.224866985541901,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unknown",NA,"No change"
"ASV26",9.33252990882147e-83,1,"Gentamycin",2.87699070252703,0.126177791869041,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculum",NA,"No change"
"ASV4",2.78471424268763e-24,2.53221003626278e-178,"Gentamycin",-0.630614483168159,3.10783841488308,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae_unknown","Prevotellaceae unknown","Gentamycin"
"ASV43",2.78471424268763e-24,5.01003610096048e-24,"Gentamycin",-0.63061448316816,1.85414907045559,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides","Gentamycin"
"ASV10",1.47398743940842e-17,6.81955375820699e-35,"Gentamycin",1.29781007451218,2.39947058885405,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides","Gentamycin"
"ASV50",2.78471424268763e-24,1,"Gentamycin",-0.630614483168159,0.0161215375238523,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter",NA,"No change"
"ASV1",1,0.378222007034667,"Gentamycin",0.532807748824482,-1.0086712583568,"Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,"No change"
"ASV179",3.58829940530954e-05,0.000967643269867665,"Gentamycin",1.49663351436953,1.5913221399793,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","Parasutterella","Gentamycin"
"ASV62",0.0258113085246779,9.81462897052917e-07,"Gentamycin",0.993324767423291,-1.74644714917959,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcaceae_unknown","Peptococcaceae unknown","Untreated"
"ASV191",4.1462811769134e-38,2.11488278136349e-57,"Gentamycin",3.18300127916294,-3.93612366091924,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus","Untreated"
"ASV190",2.78471424268763e-24,1,"Gentamycin",-0.630614483168159,0.0161215375238523,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA,"No change"
"ASV209",1,1,"Gentamycin",-0.308726900681339,-0.444395481074957,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,"No change"
"ASV182",2.06135938190985e-94,3.09696878869315e-136,"Gentamycin",3.45955343687066,-4.21267581862695,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","Turicibacter","Untreated"
"ASV214",7.06138926048635e-39,0.000343544807847639,"Gentamycin",2.92705995023564,-1.80366001340861,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Faecalibaculum","Faecalibaculum","Untreated"
"ASV217",2.78471424268763e-24,2.01257119105722e-187,"Gentamycin",-0.63061448316816,5.33876589058531,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Dubosiella","Dubosiella","Gentamycin"
"ASV177",5.68166202420872e-193,1.22285641840193e-308,"Gentamycin",2.14027022312442,-2.89339260488071,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium","Untreated"
"ASV169",1.23764315873906e-10,1.93547036888127e-22,"Gentamycin",1.57641505588193,-2.32953743763822,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobiaceae_unknown","Atopobiaceae unknown","Untreated"
"ASV57",1,1,"Gentamycin",-0.133633153210559,-0.399766770812115,"Bacteria","Firmicutes","Clostridia","Clostridia.vadinBB60.group","Clostridia.vadinBB60.group_unknown","Clostridia.vadinBB60.group_unknown",NA,"No change"
"ASV211",1.35691789690439e-05,1,"Gentamycin",-0.49198504705617,0.486396588956548,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Candidatus.Arthromitus",NA,"No change"
"ASV63",0.606846499712503,1,"Gentamycin",-0.410892025434537,-0.342230356321759,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_unknown",NA,"No change"
"ASV141",1,1,"Gentamycin",0.63497287357768,0.164509006469728,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium",NA,"No change"
"ASV163",3.120714981897e-17,1,"Gentamycin",1.46674949024961,-0.0500821396638973,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia",NA,"No change"
"ASV100",1.152655160197e-41,0.0111848444436866,"Gentamycin",4.37666536584414,-2.00632783503453,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group","Lachnospiraceae.NK4A136.group","Untreated"
"ASV127",1.24154736920814e-128,1,"Gentamycin",4.60064471158335,-0.31335757576672,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown",NA,"No change"
