"taxon","(Intercept).x","qval","treat","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","genus","label","direction"
"ASV225",1,1,"Kanamycin",0.153338811499355,-0.525342352249425,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,"No change"
"ASV109",5.89442193071153e-26,0.387518152336718,"Kanamycin",-0.759530826794212,0.709414868530962,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus].gauvreauii.group",NA,"No change"
"ASV221",1,0.00312403936837639,"Kanamycin",0.340720815314733,1.4143505562176,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia","Marvinbryantia","Kanamycin"
"ASV164",1,1,"Kanamycin",0.396617876364254,-0.768621417114324,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group",NA,"No change"
"ASV59",1,1,"Kanamycin",-0.123920060724623,-0.248083480025447,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214.group",NA,"No change"
"ASV183",0.0100061275369827,0.000100175742841325,"Kanamycin",1.11192793019226,-1.48393147094233,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter","Colidextribacter","Untreated"
"ASV192",6.51898259060715e-18,4.10241227716269e-09,"Kanamycin",2.22884790192133,-2.16140652720416,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown","Oscillospiraceae unknown","Untreated"
"ASV181",0.0157783547523839,1,"Kanamycin",-0.53980836906059,0.16780482831052,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospirales_unknown","Oscillospirales_unknown",NA,"No change"
"ASV196",1.93046472265257e-19,3.82717380126749e-08,"Kanamycin",3.0840346815193,-2.82042745619978,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter","Untreated"
"ASV70",1,1,"Kanamycin",0.00180167115985175,-0.235175775797933,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae.Sedis",NA,"No change"
"ASV194",0.0519053952203372,0.00308692529229837,"Kanamycin",1.27523317053635,-1.64723671128642,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium].coprostanoligenes.group","[Eubacterium].coprostanoligenes.group_unknown","[Eubacterium].coprostanoligenes.group unknown","Untreated"
"ASV66",2.79032831602957e-22,4.24197877426367e-27,"Kanamycin",3.42589247915824,-3.79789601990831,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus","Untreated"
"ASV2",1,1,"Kanamycin",0.022873774291417,-0.394877315041487,"Bacteria","Firmicutes","Clostridia","Clostridia_unknown","Clostridia_unknown","Clostridia_unknown",NA,"No change"
"ASV76",1,1,"Kanamycin",-0.205013082346256,-0.166990458403814,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",NA,"No change"
"ASV53",1,1,"Kanamycin",-0.160384372083414,-0.211619168666656,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales_unknown","Gastranaerophilales_unknown",NA,"No change"
"ASV46",1,1.07899590923711e-17,"Kanamycin",0.221524128893473,3.19162726895823,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes","Kanamycin"
