"taxon","(Intercept).x","qval","treat","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","genus","label","direction"
"ASV230",2.78471424268548e-24,1,"Metronidazole",-0.630614483168161,0.746357934328834,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2",NA,"No change"
"ASV225",1,1,"Metronidazole",0.282255155125407,1.22463405268427,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,"No change"
"ASV221",1,0.438653442370287,"Metronidazole",0.469637158940785,-0.881705173703163,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",NA,"No change"
"ASV164",1,1,"Metronidazole",0.525534219990306,-0.19006831109601,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group",NA,"No change"
"ASV59",1,1,"Metronidazole",0.00499628290142862,-0.00117598932784019,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214.group",NA,"No change"
"ASV183",0.00157901110585754,0.0758300908701419,"Metronidazole",1.24084427381831,-1.29456039473508,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter",NA,"No change"
"ASV192",8.86142748980667e-21,1,"Metronidazole",2.35776424554739,-0.319179954643241,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown",NA,"No change"
"ASV181",0.203188801918547,1,"Metronidazole",-0.410892025434539,-0.00117598932784016,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospirales_unknown","Oscillospirales_unknown",NA,"No change"
"ASV196",4.8785493173641e-22,4.75394310339818e-05,"Metronidazole",3.21295102514535,-2.14698275426245,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter","Untreated"
"ASV70",1,1,"Metronidazole",0.130718014785904,-0.265527157324304,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae.Sedis",NA,"No change"
