"taxon","(Intercept).x","qval","treat","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","genus","label","direction"
"ASV225",1,1,"Vancomycin",0.233092105029505,-0.402773050852018,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia",NA,"No change"
"ASV221",1,0.268893406391634,"Vancomycin",0.420474108844883,-0.867413926891375,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",NA,"No change"
"ASV164",1,1,"Vancomycin",0.476371169894403,-0.923310987940895,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group",NA,"No change"
"ASV59",1,1,"Vancomycin",-0.0441667671944732,-0.402773050852019,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214.group",NA,"No change"
"ASV183",0.00309457185389231,7.49092360013663e-06,"Vancomycin",1.19168122372241,-1.6386210417689,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter","Colidextribacter","Untreated"
"ASV192",7.97762322877949e-20,2.33873597413181e-27,"Vancomycin",2.30860119545149,-2.75554101349798,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown","Oscillospiraceae unknown","Untreated"
"ASV189",6.8895027660673e-27,0.111402464334441,"Vancomycin",-0.679777533264063,0.591189609063182,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas",NA,"No change"
"ASV181",0.0832205733505938,1,"Vancomycin",-0.460055075530441,0.0131152574839487,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospirales_unknown","Oscillospirales_unknown",NA,"No change"
"ASV196",3.08574446348872e-21,4.10847559365743e-27,"Vancomycin",3.16378797504945,-3.61072779309594,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillibacter","Oscillibacter","Untreated"
"ASV70",1,0.905817695289337,"Vancomycin",0.0815549646900015,-0.528494782736493,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae.Sedis",NA,"No change"
"ASV194",0.0364090015334721,0.00104303079499855,"Vancomycin",1.3549864640665,-1.80192628211299,"Bacteria","Firmicutes","Clostridia","Oscillospirales","[Eubacterium].coprostanoligenes.group","[Eubacterium].coprostanoligenes.group_unknown","[Eubacterium].coprostanoligenes.group unknown","Untreated"
"ASV66",3.07831529135447e-22,9.0990189629532e-28,"Vancomycin",3.50564577268839,-3.95258559073488,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus","Untreated"
"ASV2",1,0.731689992677712,"Vancomycin",0.102627067821566,-0.549566885868059,"Bacteria","Firmicutes","Clostridia","Clostridia_unknown","Clostridia_unknown","Clostridia_unknown",NA,"No change"
"ASV84",6.8895027660673e-27,0.174298673656403,"Vancomycin",-0.679777533264063,0.729819045175171,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Defluviitaleaceae","Defluviitaleaceae_unknown",NA,"No change"
"ASV76",1,1,"Vancomycin",-0.125259788816106,-0.321680029230386,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","ASF356",NA,"No change"
"ASV53",1,0.111914969146623,"Vancomycin",-0.0806310785532646,1.8603168812289,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales_unknown","Gastranaerophilales_unknown",NA,"No change"
"ASV51",6.8895027660673e-27,0.000754680448576149,"Vancomycin",-0.679777533264063,1.56159566184711,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae.RC9.gut.group","Rikenellaceae.RC9.gut.group","Vancomycin"
"ASV46",1,5.20070327407026e-05,"Vancomycin",0.301277422423623,1.94064894509442,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes","Vancomycin"
"ASV13",1.75341367981943e-54,7.99261744471476e-18,"Vancomycin",3.23080825653958,1.91051848508309,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Muribaculaceae_unknown","Muribaculaceae unknown","Vancomycin"
