"sample","Richness","Shannon","InvSimpson","collection_date","source","sample_type","source_id","treat","pool","pi","exp_number","sample_number","sample_description","primer"
"P2024.198.515rcbc1.097",46,3.26525495082119,18.7711326983825,2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097"
"P2024.198.515rcbc1.098",42,2.78394499408746,7.89634018403989,2024,"Murine","Feces","C4","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",9,"C4","515rcbc1.098"
"P2024.198.515rcbc1.099",34,2.66612823121163,9.12305348093595,2024,"Murine","Feces","K2","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",17,"K2","515rcbc1.099"
"P2024.198.515rcbc1.100",38,2.87862777449227,10.2669758499292,2024,"Murine","Feces","M5","Metronidazole","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",25,"M5","515rcbc1.100"
"P2024.198.515rcbc1.101",13,2.16718854937011,6.86775810978736,2024,"Murine","Feces","A3","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",33,"A3","515rcbc1.101"
"P2024.198.515rcbc1.109",49,3.30734480817006,19.2954173685881,2024,"Murine","Feces","U2","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",2,"U2","515rcbc1.109"
"P2024.198.515rcbc1.110",31,2.6371572525887,8.407401891429,2024,"Murine","Feces","C5","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",10,"C5","515rcbc1.110"
"P2024.198.515rcbc1.111",24,2.22272668931271,5.29099356635491,2024,"Murine","Feces","K3","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",18,"K3","515rcbc1.111"
"P2024.198.515rcbc1.112",21,2.38256261671892,8.02299328981697,2024,"Murine","Feces","V1","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",26,"V1","515rcbc1.112"
"P2024.198.515rcbc1.113",12,2.02854914491259,5.79869105529998,2024,"Murine","Feces","A4","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",34,"A4","515rcbc1.113"
"P2024.198.515rcbc1.121",56,3.414347967488,21.6389946061386,2024,"Murine","Feces","U3","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",3,"U3","515rcbc1.121"
"P2024.198.515rcbc1.122",46,3.00440681447797,9.48867224550071,2024,"Murine","Feces","G1","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",11,"G1","515rcbc1.122"
"P2024.198.515rcbc1.123",36,2.84754344446455,11.4005596988013,2024,"Murine","Feces","K4","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",19,"K4","515rcbc1.123"
"P2024.198.515rcbc1.124",22,2.34781963945637,7.50121963951822,2024,"Murine","Feces","V2","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",27,"V2","515rcbc1.124"
"P2024.198.515rcbc1.125",15,2.2451090470417,7.25604348185349,2024,"Murine","Feces","A5","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",35,"A5","515rcbc1.125"
"P2024.198.515rcbc1.133",46,3.11227020114898,13.1389503083905,2024,"Murine","Feces","U4","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",4,"U4","515rcbc1.133"
"P2024.198.515rcbc1.134",52,3.3448024524628,18.3928180781494,2024,"Murine","Feces","G2","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",12,"G2","515rcbc1.134"
"P2024.198.515rcbc1.135",27,2.47066495880301,6.4471264836644,2024,"Murine","Feces","K5","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",20,"K5","515rcbc1.135"
