"sample","axis_1","axis_2","collection_date","source","sample_type","source_id","treat","pool","pi","exp_number","sample_number","sample_description","primer","centroid.x","centroid.y"
"P2024.198.515rcbc1.097",-0.328672680670765,-0.147294966431426,2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097",-0.384700685423281,-0.13761770128689
"P2024.198.515rcbc1.098",-0.522881901934799,0.123440109523427,2024,"Murine","Feces","C4","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",9,"C4","515rcbc1.098",-0.50054420745485,0.121403514756582
"P2024.198.515rcbc1.099",0.156570970668999,0.249075689518786,2024,"Murine","Feces","K2","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",17,"K2","515rcbc1.099",0.161914534304977,0.224350555056393
"P2024.198.515rcbc1.100",0.146014605275463,0.128388277801105,2024,"Murine","Feces","M5","Metronidazole","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",25,"M5","515rcbc1.100",0.0646298159435423,-0.0759198565438963
"P2024.198.515rcbc1.101",0.23489380641529,0.135404242698415,2024,"Murine","Feces","A3","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",33,"A3","515rcbc1.101",0.242826693315483,0.126930964444532
"P2024.198.515rcbc1.109",-0.360112933803865,-0.179322181828322,2024,"Murine","Feces","U2","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",2,"U2","515rcbc1.109",-0.384700685423281,-0.13761770128689
"P2024.198.515rcbc1.110",-0.483148598527255,0.102845378222734,2024,"Murine","Feces","C5","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",10,"C5","515rcbc1.110",-0.50054420745485,0.121403514756582
"P2024.198.515rcbc1.111",0.277476590799648,0.16191438726878,2024,"Murine","Feces","K3","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",18,"K3","515rcbc1.111",0.161914534304977,0.224350555056393
"P2024.198.515rcbc1.112",0.214434285476246,-0.450587052309814,2024,"Murine","Feces","V1","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",26,"V1","515rcbc1.112",0.214093933279846,-0.463963723479557
"P2024.198.515rcbc1.113",0.238219551188114,0.144953888842978,2024,"Murine","Feces","A4","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",34,"A4","515rcbc1.113",0.242826693315483,0.126930964444532
"P2024.198.515rcbc1.121",-0.376821740387013,-0.155023476012923,2024,"Murine","Feces","U3","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",3,"U3","515rcbc1.121",-0.384700685423281,-0.13761770128689
"P2024.198.515rcbc1.122",0.250675616448059,0.223913911537084,2024,"Murine","Feces","G1","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",11,"G1","515rcbc1.122",0.201779916034282,0.204816247052837
"P2024.198.515rcbc1.123",0.0701285773879071,0.173507773625313,2024,"Murine","Feces","K4","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",19,"K4","515rcbc1.123",0.161914534304977,0.224350555056393
