"OTU","Sample","Abundance","sample","collection_date","source","sample_type","source_id","treat","pool","pi","exp_number","sample_number","sample_description","primer","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV142","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV92","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV146","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV135","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium"
"ASV118","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium"
"ASV107","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV152","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV140","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV149","P2024.198.515rcbc1.097",79,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV144","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV126","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV125","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV79","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV73","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV75","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV74","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV81","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV80","P2024.198.515rcbc1.097",4,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV82","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV83","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV154","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV151","P2024.198.515rcbc1.097",12,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV226","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV227","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV229","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV85","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV232","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV228","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV231","P2024.198.515rcbc1.097",2,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV222","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV230","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","A2"
"ASV87","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV225","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia"
"ASV112","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV93","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV90","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV91","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV143","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV114","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV139","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV110","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium"
"ASV123","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV134","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnoclostridium"
"ASV130","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV122","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV131","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia"
"ASV109","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Ruminococcus].gauvreauii.group"
"ASV119","P2024.198.515rcbc1.097",6,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia"
"ASV221","P2024.198.515rcbc1.097",6,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia"
"ASV224","P2024.198.515rcbc1.097",61,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV111","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae.NK4A136.group"
"ASV156","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV223","P2024.198.515rcbc1.097",11,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV155","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV157","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV158","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae_unknown"
"ASV159","P2024.198.515rcbc1.097",1,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group"
"ASV164","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","[Eubacterium].xylanophilum.group"
"ASV59","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214.group"
"ASV183","P2024.198.515rcbc1.097",2,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter"
"ASV192","P2024.198.515rcbc1.097",15,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown"
"ASV187","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown"
"ASV188","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospiraceae_unknown"
"ASV189","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Intestinimonas"
"ASV184","P2024.198.515rcbc1.097",0,"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Colidextribacter"
