"sample","collection_date","source","sample_type","source_id","treat","pool","pi","exp_number","sample_number","sample_description","primer"
"P2024.198.515rcbc1.097",2024,"Murine","Feces","U1","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",1,"U1","515rcbc1.097"
"P2024.198.515rcbc1.098",2024,"Murine","Feces","C4","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",9,"C4","515rcbc1.098"
"P2024.198.515rcbc1.099",2024,"Murine","Feces","K2","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",17,"K2","515rcbc1.099"
"P2024.198.515rcbc1.100",2024,"Murine","Feces","M5","Metronidazole","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",25,"M5","515rcbc1.100"
"P2024.198.515rcbc1.101",2024,"Murine","Feces","A3","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",33,"A3","515rcbc1.101"
"P2024.198.515rcbc1.109",2024,"Murine","Feces","U2","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",2,"U2","515rcbc1.109"
"P2024.198.515rcbc1.110",2024,"Murine","Feces","C5","Colistin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",10,"C5","515rcbc1.110"
"P2024.198.515rcbc1.111",2024,"Murine","Feces","K3","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",18,"K3","515rcbc1.111"
"P2024.198.515rcbc1.112",2024,"Murine","Feces","V1","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",26,"V1","515rcbc1.112"
"P2024.198.515rcbc1.113",2024,"Murine","Feces","A4","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",34,"A4","515rcbc1.113"
"P2024.198.515rcbc1.121",2024,"Murine","Feces","U3","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",3,"U3","515rcbc1.121"
"P2024.198.515rcbc1.122",2024,"Murine","Feces","G1","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",11,"G1","515rcbc1.122"
"P2024.198.515rcbc1.123",2024,"Murine","Feces","K4","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",19,"K4","515rcbc1.123"
"P2024.198.515rcbc1.124",2024,"Murine","Feces","V2","Vancomycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",27,"V2","515rcbc1.124"
"P2024.198.515rcbc1.125",2024,"Murine","Feces","A5","All","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",35,"A5","515rcbc1.125"
"P2024.198.515rcbc1.133",2024,"Murine","Feces","U4","Untreated","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",4,"U4","515rcbc1.133"
"P2024.198.515rcbc1.134",2024,"Murine","Feces","G2","Gentamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",12,"G2","515rcbc1.134"
"P2024.198.515rcbc1.135",2024,"Murine","Feces","K5","Kanamycin","P2024.198","Jian.Wen","Impact.of.gut.microbiota.on.liver.macrophages.batch2",20,"K5","515rcbc1.135"
