"metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","aro_term","amr_gene_family","drug_class","resistance_mechanism","log2fc","gene_label"
"timepoint","after",1.71800482367485,0.631830035495837,12,7,0.0215939089744211,0.139348301820866,"doxil","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",2.47855703933902,NA
"timepoint","after",-0.505228369405638,0.160313450760309,12,12,0.0253360548765212,0.139348301820866,"doxil","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.728890463057931,NA
"timepoint","after",-0.486321551741687,0.32961598449222,12,2,0.170877446128579,0.310561365679651,"doxil","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",-0.701613690975157,NA
"timepoint","after",0.816367447329796,0.519773697625547,12,3,0.177069635798969,0.310561365679651,"doxil","tet(32)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",1.17776926780588,NA
"timepoint","after",-0.523284351558947,0.378963816143129,12,11,0.225862811403383,0.310561365679651,"doxil","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",-0.75493973896889,NA
"timepoint","after",0.531144206137413,0.369218687655716,12,2,0.199870096671732,0.310561365679651,"doxil","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",0.766279112191351,NA
"timepoint","after",-0.533846360847462,0.371644405259579,12,2,0.202552459559511,0.310561365679651,"doxil","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",-0.770177497391253,NA
"timepoint","after",0.428887561184993,0.281159887444666,12,2,0.177983720511261,0.310561365679651,"doxil","tet(44)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",0.618753957620551,NA
"timepoint","after",0.827560711442364,0.769199278344542,12,10,0.307255469854857,0.375534463155936,"doxil","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",1.19391773443244,NA
"timepoint","after",0.724113853597402,0.80331517902545,12,6,0.38856633375882,0.427422967134703,"doxil","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",1.04467546562397,NA
"timepoint","after",0.436104553570952,0.677127070482334,12,10,0.534034772937863,0.534034772937863,"doxil","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",0.629165876745908,NA
