"metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","aro_term","amr_gene_family","drug_class","resistance_mechanism","log2fc","gene_label"
"timepoint","after",2.54507240451948,0.638415129190309,12,9,0.00257360343125589,0.0257360343125589,"metro+doxil","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",3.6717633367036,"Mef(En2)
macrolide antibiotic; lincosamide antibiotic
antibiotic efflux"
"timepoint","after",1.37633486341844,0.442436718817156,12,8,0.0110455077009909,0.0552275385049544,"metro+doxil","Bifidobacterium bifidum ileS conferring resistance to mupirocin","antibiotic-resistant isoleucyl-tRNA synthetase (ileS)","mupirocin-like antibiotic","antibiotic target alteration",1.98563148205637,NA
"timepoint","after",-0.696433331753984,0.333914330635849,12,3,0.0820671800528305,0.273557266842768,"metro+doxil","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",-1.00474091403125,NA
"timepoint","after",-1.19575262456736,0.699410171956116,12,11,0.148022198017799,0.36550296978344,"metro+doxil","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",-1.72510638159329,NA
"timepoint","after",0.450779433907883,0.299258699495271,12,2,0.18275148489172,0.36550296978344,"metro+doxil","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",0.650337253833637,NA
"timepoint","after",1.34461673982441,1.10245491090293,12,11,0.250579632518244,0.375092124398393,"metro+doxil","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",1.93987190244096,NA
"timepoint","after",-0.700629140524356,0.629614331428381,12,5,0.291832466174612,0.375092124398393,"metro+doxil","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-1.01079418653679,NA
"timepoint","after",0.829317865691493,0.717670043465276,12,9,0.300073699518714,0.375092124398393,"metro+doxil","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",1.19645277215374,NA
"timepoint","after",-0.402480194984003,0.872154525534419,12,5,0.663746383409502,0.737495981566114,"metro+doxil","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.580656181359444,NA
"timepoint","after",0.0975214107214223,0.750414195424283,12,9,0.899177568577496,0.899177568577496,"metro+doxil","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",0.140693655628292,NA
