"metadata","value","coef","stderr","N","N.not.0","pval","qval","treatment","aro_term","amr_gene_family","drug_class","resistance_mechanism","log2fc","gene_label"
"timepoint","after",2.16259474788017,0.889800921084807,12,4,0.0511226136693069,0.266231668617859,"metro","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",3.11996471821924,NA
"timepoint","after",-2.23577547680198,0.866525136518684,12,6,0.0274086742841729,0.266231668617859,"metro","CfxA6","CfxA beta-lactamase","cephalosporin","antibiotic inactivation",-3.22554219292337,NA
"timepoint","after",1.2854000186874,0.629954739598456,12,12,0.0968115158610396,0.266231668617859,"metro","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",1.85444023251889,NA
"timepoint","after",0.863902075437106,0.431120157610609,12,3,0.091950448208203,0.266231668617859,"metro","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",1.2463472400468,NA
"timepoint","after",-0.171403606309193,0.130466745268025,12,12,0.218263175326843,0.300111866074409,"metro","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.247283132812757,NA
"timepoint","after",-1.06367772227875,0.611756296106354,12,10,0.142578535767822,0.300111866074409,"metro","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",-1.53456257503562,NA
"timepoint","after",-0.271236107099719,0.178160738579176,12,3,0.188396581506586,0.300111866074409,"metro","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.391310986622792,NA
"timepoint","after",0.530648448466247,0.368774059048833,12,2,0.201507053652506,0.300111866074409,"metro","vanS gene in vanG cluster","vanS; glycopeptide resistance gene cluster","glycopeptide antibiotic","antibiotic target alteration",0.765563885057677,NA
"timepoint","after",-0.285098341318429,0.408809016351036,12,4,0.516648734440813,0.63145956431655,"metro","tet(W)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.411309963185766,NA
"timepoint","after",-0.356548835717793,0.803918333547675,12,6,0.675927979848618,0.742449526138902,"metro","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",-0.514391237124794,NA
"timepoint","after",0.197389346172291,0.568220973930641,12,3,0.742449526138902,0.742449526138902,"metro","vanR gene in vanG cluster","glycopeptide resistance gene cluster; vanR","glycopeptide antibiotic","antibiotic target alteration",0.284772630847079,NA
