"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"42958",1,1,"control",3.87538580557948,3.94193300380026,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Coriobacteriaceae_unclassified","s__Coriobacteriaceae_bacterium",NA,"No change"
"33555",6.05654856248166e-35,1,"control",5.53181612837913,0.827340556986191,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Parvibacter","s__Parvibacter_caecicola",NA,"No change"
"33554",1,1,"control",3.96113115315359,4.22471341352082,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_mucosicola",NA,"No change"
"14802",4.61750295388563e-56,1,"control",7.50320029892931,0.488488038746871,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_caecimuris",NA,"No change"
"33553",5.1191693703926e-134,1,"control",7.36296104867095,1.13916230947328,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_muris",NA,"No change"
"44083",0.181810350422607,1,"control",3.7305438176216,1.47300554287384,"k__Bacteria","p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria",NA,"No change"
"42949",3.92725873747513e-10,0.0360734619976855,"control",4.52087156497789,3.19455121951172,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","LKT_f__Eggerthellaceae","LKT_f__Eggerthellaceae","LKT  Eggerthellaceae","After"
"86230",2.75918420015153e-37,1,"control",5.51247491368646,1.64180431222463,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_sp_DSM_108611",NA,"No change"
"33580",1,1,"control",4.20417756013477,4.04426248818745,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Granulimonas","s__Granulimonas_faecalis",NA,"No change"
"17279",1,0.500230622467319,"control",3.82666186974315,4.88331758936053,"k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_pseudolongum",NA,"No change"
"7041",2.33319641560369e-43,1,"control",5.73196400923977,0.900119471945705,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_johnsonii",NA,"No change"
"7077",1,1,"control",2.52175132943203,2.45288958371069,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Ligilactobacillus","s__Ligilactobacillus_murinus",NA,"No change"
"7095",1,1,"control",0.994892438753256,3.62365601228919,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__Limosilactobacillus_reuteri",NA,"No change"
"39153",1,3.91541210332225e-05,"control",0.470393917331234,5.18038909464499,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Turicibacteraceae","g__Turicibacter","s__Turicibacter_sp_1E2"," Turicibacter sp 1E2","After"
"6748",5.65221736087976e-71,1,"control",-2.71716061248979,2.17504761998902,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelatoclostridium","s__Clostridium_cocleatum",NA,"No change"
"29002",0.899383485574673,0.90769880680087,"control",5.28323425109431,5.8495571727983,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelotrichaceae_unclassified","s__Erysipelotrichaceae_bacterium",NA,"No change"
"4047",1,1,"control",1.1772746812393,-4.04841675147466,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Faecalibaculum","s__Faecalibaculum_rodentium",NA,"No change"
"42247",0.899383485574673,1,"control",5.30856501485314,2.77093862419744,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","LKT_f__Erysipelotrichaceae","LKT_f__Erysipelotrichaceae",NA,"No change"
"65123",1,1,"control",-1.77802901196159,1.50346410335115,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_SGB65123",NA,"No change"
"5155",1,1,"control",0.432593583941209,-2.16779565583085,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium_MD335",NA,"No change"
"36960",1.30878792254298e-80,1,"control",8.58612781787325,-0.431053379834621,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","LKT_f__Lachnospiraceae","LKT_f__Lachnospiraceae",NA,"No change"
"41594",1.12252370971786e-18,1,"control",5.29369931224078,0.723846541521632,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_unclassified","f__Clostridia_unclassified","g__Clostridia_unclassified","s__Clostridia_bacterium",NA,"No change"
"41597",1.63273950875818e-178,1,"control",6.29281344399578,-1.13907491439128,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","LKT_f__Bacteria_unclassified","LKT_f__Bacteria_unclassified",NA,"No change"
"41589",1,1,"control",-1.68340469295847,0.365611162045659,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB41589",NA,"No change"
"29426",1,1,"control",-1.45567800192196,1.45685759588358,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1xD42_87",NA,"No change"
"41625",5.34477966170314e-31,1,"control",6.63801340415598,-0.120179418423957,"k__Bacteria","p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified",NA,"No change"
"41627",1,1,"control",1.8837499604193,-1.51172967570595,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1xD8_48",NA,"No change"
"29425",1,1,"control",-0.458900182546722,-1.5934660733993,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_0_1xD8_82",NA,"No change"
"41558",1.16723126714269e-127,1,"control",7.92636414349677,0.117426436347703,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium",NA,"No change"
"41548",1,1,"control",-1.90336029205873,0.0898242819614668,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Acetatifactor","s__Acetatifactor_sp_DSM_110981",NA,"No change"
"102258",1,1,"control",-1.80028424406567,0.250001759201092,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Acetatifactor","s__Acetatifactor_SGB102258",NA,"No change"
"41647",1,0.748840376147435,"control",-0.831691510362028,3.79658075585824,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1XD42_76",NA,"No change"
"102286",1,1,"control",-0.78221242358937,-2.08892964664599,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB102286",NA,"No change"
"41663",1,1,"control",-1.72713207036972,1.16924372978754,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridiaceae_unclassified","s__Clostridiaceae_unclassified_SGB41663",NA,"No change"
"41701",1,1,"control",1.06805729730704,-0.894831049840169,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","g__Eubacteriaceae_unclassified","s__Eubacteriaceae_bacterium",NA,"No change"
