"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"42958",5.72427928243129e-92,0.151780286600352,"doxil",4.68082240035304,-1.21365701383064,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Coriobacteriaceae_unclassified","s__Coriobacteriaceae_bacterium",NA,"No change"
"33555",8.2923907086338e-28,1,"doxil",3.24329979460955,-1.22415019530484,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Parvibacter","s__Parvibacter_caecicola",NA,"No change"
"33554",1.41108575158095e-85,0.363644860513482,"doxil",4.80254913073116,-1.19422907760592,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_mucosicola",NA,"No change"
"14802",4.62780321318394e-103,0.45939814677837,"doxil",5.55824772705694,-1.18198162205312,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_caecimuris",NA,"No change"
"33553",5.54607687158809e-62,1,"doxil",4.00027882853543,-0.52679419208078,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_muris",NA,"No change"
"44083",6.71447159357037e-17,0.825552025337315,"doxil",2.96261764602802,-1.70188005735786,"k__Bacteria","p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria",NA,"No change"
"42949",1.82065502161618e-52,1,"doxil",3.70110136212736,-0.159684250190011,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","LKT_f__Eggerthellaceae","LKT_f__Eggerthellaceae",NA,"No change"
"86230",7.43155157725945e-26,0.513113869918842,"doxil",3.53974526553298,-1.39347202853055,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_sp_DSM_108611",NA,"No change"
"33580",2.05943018283912e-31,1,"doxil",5.84678246945279,-3.03234502066488,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Granulimonas","s__Granulimonas_faecalis",NA,"No change"
"17279",1,1,"doxil",-0.861684781658826,4.44385933518203,"k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_pseudolongum",NA,"No change"
"82603",0.0028200901372026,1,"doxil",-4.18358494878922,-2.39089502012286,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_danieliae",NA,"No change"
"7041",5.32126672905984e-24,1,"doxil",3.60772889040401,-0.997959194698808,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_johnsonii",NA,"No change"
"7077",1.81765763092805e-35,0.00270851275404296,"doxil",2.69829442921374,-1.59316695471975,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Ligilactobacillus","s__Ligilactobacillus_murinus"," Ligilactobacillus murinus","Before"
"7095",1,1,"doxil",0.218092848505511,0.190043953027012,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__Limosilactobacillus_reuteri",NA,"No change"
"39153",1,0.480333073768135,"doxil",-1.64103999500071,3.15832658043057,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Turicibacteraceae","g__Turicibacter","s__Turicibacter_sp_1E2",NA,"No change"
"29002",0.158621402426628,1,"doxil",5.49014298742697,-0.968423433320584,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelotrichaceae_unclassified","s__Erysipelotrichaceae_bacterium",NA,"No change"
"42247",2.40937696715989e-16,1,"doxil",3.51441277251161,-1.59631122815438,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","LKT_f__Erysipelotrichaceae","LKT_f__Erysipelotrichaceae",NA,"No change"
"5155",1,1,"doxil",1.4896128508578,1.78531805987147,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium_MD335",NA,"No change"
"36960",6.59690183023376e-154,1,"doxil",6.26111562643793,-0.0970286824700962,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","LKT_f__Lachnospiraceae","LKT_f__Lachnospiraceae",NA,"No change"
"41594",1,1,"doxil",0.565975833786142,0.969781279827721,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_unclassified","f__Clostridia_unclassified","g__Clostridia_unclassified","s__Clostridia_bacterium",NA,"No change"
