"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"42958",5.67076889755102e-33,1,"metro+doxil",5.39631490024803,-0.210336582681088,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Coriobacteriaceae_unclassified","s__Coriobacteriaceae_bacterium",NA,"No change"
"33555",1,0.541926860201395,"metro+doxil",-0.411884646563915,4.67101881702211,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Parvibacter","s__Parvibacter_caecicola",NA,"No change"
"33554",1.13374684313717e-26,1,"metro+doxil",6.38481677933647,-0.0450522288518175,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_mucosicola",NA,"No change"
"14802",9.50745112355395e-142,1,"metro+doxil",5.9992884214739,-0.0191279418592294,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_caecimuris",NA,"No change"
"33553",1,0.612604003143821,"metro+doxil",-0.0283545157955469,4.90172354476859,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_muris",NA,"No change"
"44083",1.65844607826555e-13,1,"metro+doxil",4.27067179870601,0.429510883651232,"k__Bacteria","p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria",NA,"No change"
"42949",2.68665120445171e-26,1,"metro+doxil",5.19305244835525,0.150255762210437,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","LKT_f__Eggerthellaceae","LKT_f__Eggerthellaceae",NA,"No change"
"86230",9.25583728030173e-30,1,"metro+doxil",4.87213894162409,-0.144674447046141,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_sp_DSM_108611",NA,"No change"
"33580",1,1,"metro+doxil",0.76619715625915,4.7765514553748,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Granulimonas","s__Granulimonas_faecalis",NA,"No change"
"17279",1,0.541926860201395,"metro+doxil",1.82895034512188,6.45862451503231,"k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_pseudolongum",NA,"No change"
"82603",0.0002347793256612,0.478965532538396,"metro+doxil",-4.01245412916398,3.0911833269616,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_danieliae",NA,"No change"
"7041",9.21008916936098e-22,1,"metro+doxil",4.8130073184395,1.24848874229172,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus","s__Lactobacillus_johnsonii",NA,"No change"
"7077",1,0.935244660056999,"metro+doxil",-0.61980232259674,3.91168320824732,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Ligilactobacillus","s__Ligilactobacillus_murinus",NA,"No change"
"7095",1,0.0154694269582443,"metro+doxil",-1.44083142247342,4.90686970633899,"k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Limosilactobacillus","s__Limosilactobacillus_reuteri"," Limosilactobacillus reuteri","After"
"39153",1,1,"metro+doxil",-3.13013798661057,-1.98877713491318,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Turicibacteraceae","g__Turicibacter","s__Turicibacter_sp_1E2",NA,"No change"
"44461",0.0567973816409448,1,"metro+doxil",-4.01245412916398,2.96365075231558,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichales_unclassified","g__Erysipelotrichales_unclassified","s__Erysipelotrichales_bacterium",NA,"No change"
"29002",0.587136897515676,1,"metro+doxil",5.69185020064379,2.26936070968612,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelotrichaceae_unclassified","s__Erysipelotrichaceae_bacterium",NA,"No change"
"4047",1,1,"metro+doxil",1.2911883177651,-0.64697213350019,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Faecalibaculum","s__Faecalibaculum_rodentium",NA,"No change"
"42247",1,1,"metro+doxil",-2.33815935328954,2.95564476138561,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","LKT_f__Erysipelotrichaceae","LKT_f__Erysipelotrichaceae",NA,"No change"
"4048",0.0095966522182508,2.93712766299498e-22,"metro+doxil",-4.13459173989366,11.3659579485769,"k__Bacteria","p__Firmicutes","c__Erysipelotrichia","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Erysipelotrichaceae_unclassified","s__Erysipelotrichaceae_bacterium_NYU_BL_F16"," Erysipelotrichaceae bacterium NYU BL F16","After"
"8526",1.94909933611496e-20,1,"metro+doxil",-4.48276023867633,-0.174056762474122,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Candidatus_Arthromitus","s__Candidatus_Arthromitus_sp_SFB_mouse",NA,"No change"
"5155",2.81201645068092e-27,1,"metro+doxil",2.57676961302681,-1.78510606520198,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium_MD335",NA,"No change"
"36960",6.61769701142023e-32,0.089218687692114,"metro+doxil",5.91344277637076,1.88915521826709,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","LKT_f__Lachnospiraceae","LKT_f__Lachnospiraceae",NA,"No change"
"36958",1,1,"metro+doxil",-0.00884581823286368,-5.11006930329088,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB36958",NA,"No change"
"41492",0.261861456097102,1,"metro+doxil",-3.57727992548192,0.229028529727228,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB41492",NA,"No change"
"41594",0.139176397360711,1,"metro+doxil",2.50278419628728,0.922240053342105,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia_unclassified","f__Clostridia_unclassified","g__Clostridia_unclassified","s__Clostridia_bacterium",NA,"No change"
"41597",5.48471205332425e-50,1,"metro+doxil",4.99051966659993,-0.292373910921574,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","LKT_f__Bacteria_unclassified","LKT_f__Bacteria_unclassified",NA,"No change"
"41589",1,1,"metro+doxil",3.74271862201456,-1.16680413220718,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB41589",NA,"No change"
"29426",1,1,"metro+doxil",0.185629284447614,-1.73449567779098,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1xD42_87",NA,"No change"
"41625",6.9196532889641e-21,1,"metro+doxil",4.48439577381035,-0.618832508415399,"k__Bacteria","p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified","LKT_p__Bacteria_unclassified",NA,"No change"
"41627",1,0.935244660056999,"metro+doxil",0.252329758341332,-4.19622445982024,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1xD8_48",NA,"No change"
"29425",1,0.00687675853724036,"metro+doxil",-0.171321147543996,-4.23481628747708,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_0_1xD8_82"," bacterium 0 1xD8 82","Before"
"41558",2.25509700102602e-64,1,"metro+doxil",5.82158956613549,0.427861977452565,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium",NA,"No change"
"41548",9.70413505762512e-17,0.344194324395961,"metro+doxil",-4.43085421226635,3.89026973142156,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Acetatifactor","s__Acetatifactor_sp_DSM_110981",NA,"No change"
"41546",1,1,"metro+doxil",-2.82936000602193,-0.207733744298861,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Acetatifactor","s__Acetatifactor_SGB41546",NA,"No change"
"7273",0.00353331584375318,1,"metro+doxil",-4.1873700081145,0.0179704676749892,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Acetatifactor","s__Acetatifactor_muris",NA,"No change"
"41647",1,1,"metro+doxil",0.221400492794127,0.00275666863357938,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_1XD42_76",NA,"No change"
"41663",1,0.37217530658237,"metro+doxil",-0.971758253299812,-4.14715686822394,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridiaceae_unclassified","s__Clostridiaceae_unclassified_SGB41663",NA,"No change"
"29422",1.66175425737833e-27,0.396458755128466,"metro+doxil",3.04906765353201,-3.78404092138332,"k__Bacteria","p__Bacteria_unclassified","c__Bacteria_unclassified","o__Bacteria_unclassified","f__Bacteria_unclassified","g__Bacteria_unclassified","s__bacterium_D16_56",NA,"No change"
"94922",2.22267429284297e-05,1,"metro+doxil",-4.08575425374995,1.33548463708596,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","g__Eubacteriaceae_unclassified","s__Eubacteriaceae_unclassified_SGB94922",NA,"No change"
"41701",1,1,"metro+doxil",0.504350150273948,2.67793878663684,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","g__Eubacteriaceae_unclassified","s__Eubacteriaceae_bacterium",NA,"No change"
"41704",1,1,"metro+doxil",2.186460357877,-3.64003773126316,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Eubacteriaceae","LKT_f__Eubacteriaceae","LKT_f__Eubacteriaceae",NA,"No change"
"7277",1,1,"metro+doxil",-1.29872985002399,1.83058263776046,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_bacterium_A2",NA,"No change"
"7270",1,0.475826482465943,"metro+doxil",-1.4269027983687,5.37961783361457,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Schaedlerella","s__Schaedlerella_arabinosiphila",NA,"No change"
"94868",1,1,"metro+doxil",-2.8139699027775,-1.01665599684874,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB94868",NA,"No change"
"7275",2.7943466400585e-62,1,"metro+doxil",-5.1413008584399,2.96759655036334,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Dorea","s__Dorea_sp_5_2",NA,"No change"
"41414",0.63683593969553,1,"metro+doxil",-3.14119827288423,3.17289207188564,"k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Lachnospiraceae","g__Lachnospiraceae_unclassified","s__Lachnospiraceae_unclassified_SGB41414",NA,"No change"
