"taxon","(Intercept).x","qval","treatment","(Intercept).y","lfc","Kingdom","Phylum","Class","Order","Family","Genus","species","label","direction"
"42958",4.58029026340869e-31,1,"metro",5.27185523319253,-0.473820124780606,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Coriobacteriaceae_unclassified","s__Coriobacteriaceae_bacterium",NA,"No change"
"33555",3.72400754640361e-05,1,"metro",2.90852667445381,1.07023187071351,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Coriobacteriaceae","g__Parvibacter","s__Parvibacter_caecicola",NA,"No change"
"33554",4.67776992250401e-27,1,"metro",5.4146037859572,0.182795043055154,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_mucosicola",NA,"No change"
"14802",3.47661154981746e-37,1,"metro",5.35516165370696,-1.75836029857205,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_caecimuris",NA,"No change"
"33553",7.34230186468691e-26,1,"metro",4.84509861184815,-0.308937523307487,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_muris",NA,"No change"
"44083",5.63553025317754e-07,1,"metro",2.7019741650452,0.601794624617755,"k__Bacteria","p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria","LKT_p__Actinobacteria",NA,"No change"
"42949",2.39820434124282e-08,1,"metro",3.43400614432928,-0.00191847617445828,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","LKT_f__Eggerthellaceae","LKT_f__Eggerthellaceae",NA,"No change"
"86230",8.95333407783949e-11,1,"metro",3.46468886545857,-0.295843328393137,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Eggerthellales","f__Eggerthellaceae","g__Adlercreutzia","s__Adlercreutzia_sp_DSM_108611",NA,"No change"
"33580",3.96557261981127e-38,0.938163329162078,"metro",6.35461435190378,-1.33182661156646,"k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Granulimonas","s__Granulimonas_faecalis",NA,"No change"
"17279",1,0.000233288979688454,"metro",-2.62862197921044,8.62832376065783,"k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium","s__Bifidobacterium_pseudolongum"," Bifidobacterium pseudolongum","After"
