"sample","Richness","Shannon","InvSimpson","principal_investigator","protocol_number","project_name","sample_weight_mg","sample_source","date_sent_to_prime_tr","sequencing_requred","timepoint","treatment","mouse","core_sample_id"
"ac351",146,3.56290861482366,23.2084500371948,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","351","P2024.200.515rcbc1.100"
"ac352",147,3.4984595428858,21.4736682984989,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","352","P2024.200.515rcbc1.112"
"ac353",182,3.48885002323834,17.9323260446675,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","353","P2024.200.515rcbc1.124"
"ac354",215,3.32918731587424,16.878470954414,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","354","P2024.200.515rcbc1.136"
"ac355",118,3.10961069708046,11.8655908602157,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","355","P2024.200.515rcbc1.148"
"ac356",115,2.96052939887182,9.9750509682349,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","control","356","P2024.200.515rcbc1.160"
"ad363",210,3.61052509851702,20.2451024295529,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","363","P2024.200.515rcbc1.149"
"ad364",213,3.63160568794206,16.0800465842284,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","364","P2024.200.515rcbc1.161"
"ad365",193,3.70167973338706,23.8115193907189,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","365","P2024.200.515rcbc1.173"
"ad366",222,3.58670138385529,18.6559687992423,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","366","P2024.200.515rcbc1.185"
"ad367",199,3.627935510906,23.2667394416514,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","367","P2024.200.515rcbc1.102"
"ad368",178,3.17404476591262,11.0078910020061,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","doxil","368","P2024.200.515rcbc1.114"
"am357",114,2.658324899381,7.84762212076754,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","357","P2024.200.515rcbc1.172"
"am358",124,3.12692670856357,13.627606546923,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","358","P2024.200.515rcbc1.184"
"am359",150,3.38946424369664,16.1645055641199,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","359","P2024.200.515rcbc1.101"
"am360",150,3.55471165584515,23.646498026295,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","360","P2024.200.515rcbc1.113"
"am361",174,3.59871719415657,21.244014538391,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","361","P2024.200.515rcbc1.125"
"am362",179,3.73855524714259,25.0881526408739,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro","362","P2024.200.515rcbc1.137"
"amd782",150,3.52167999152349,19.3033170456364,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","782","P2024.200.515rcbc1.126"
"amd783",198,3.71101139745315,22.3612944968437,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","783","P2024.200.515rcbc1.138"
"amd784",144,3.28918089966488,14.2579599008471,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","784","P2024.200.515rcbc1.150"
"amd785",183,3.77867128902209,25.748048616416,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","785","P2024.200.515rcbc1.162"
"amd786",198,3.94946348536709,30.5168990663337,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","786","P2024.200.515rcbc1.174"
"amd787",167,3.71278578171723,24.4601406231274,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","after","metro+doxil","787","P2024.200.515rcbc1.186"
"bc351",154,2.97390795166909,12.2858492750535,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","351","P2024.200.515rcbc1.097"
"bc352",138,2.9706653002405,12.6939727678828,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","352","P2024.200.515rcbc1.109"
"bc353",164,3.06358734367633,11.2161335018005,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","353","P2024.200.515rcbc1.121"
"bc354",174,3.06956099014912,11.3448932998911,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","354","P2024.200.515rcbc1.133"
"bc355",147,2.90853656521748,10.1241981377629,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","355","P2024.200.515rcbc1.145"
"bc356",135,2.76199362149652,6.86881240859568,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","control","356","P2024.200.515rcbc1.157"
"bd363",186,3.52888435107458,21.274977370122,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","363","P2024.200.515rcbc1.146"
"bd364",134,3.19148460483053,16.4158305476908,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","364","P2024.200.515rcbc1.158"
"bd365",168,3.58535370131603,22.3341937154306,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","365","P2024.200.515rcbc1.170"
"bd366",153,3.31833293320885,18.2881995623524,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","366","P2024.200.515rcbc1.182"
"bd367",163,3.19147342286758,13.8625438696612,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","367","P2024.200.515rcbc1.099"
"bd368",204,3.82346453534587,25.7188951169628,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","doxil","368","P2024.200.515rcbc1.111"
"bm357",99,2.54740432975138,7.27810327731938,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","357","P2024.200.515rcbc1.169"
"bm358",227,3.88741323102278,26.9379080709402,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","358","P2024.200.515rcbc1.181"
"bm359",187,3.95537359592386,29.2679397165683,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","359","P2024.200.515rcbc1.098"
"bm360",144,3.3229597717263,16.5673546189146,"Jiang,Wen","N/A","Impact of gut microbiota on treatment effect",NA,"Murine",NA,"16S","before","metro","360","P2024.200.515rcbc1.110"
