"sample1","distance","timepoint","treatment","mouse"
"bc351",0.644360394219368,"before","control","351"
"bc352",0.61744144881074,"before","control","352"
"bc353",0.370492689739886,"before","control","353"
"bc354",0.23239247657009,"before","control","354"
"bc355",0.426952746850836,"before","control","355"
"bc356",0.397282137886042,"before","control","356"
"bd363",0.246596779925567,"before","doxil","363"
"bd364",0.474626949449814,"before","doxil","364"
"bd365",0.233078859745609,"before","doxil","365"
"bd366",0.356706510633251,"before","doxil","366"
"bd367",0.340270848871926,"before","doxil","367"
"bd368",0.463090453190691,"before","doxil","368"
"bm357",0.339166273326963,"before","metro","357"
"bm358",0.644535736646302,"before","metro","358"
"bm359",0.512068892816117,"before","metro","359"
"bm360",0.393211182650609,"before","metro","360"
"bm361",0.491332300670436,"before","metro","361"
"bm362",0.520120339128875,"before","metro","362"
"bmd782",0.444173294176704,"before","metro+doxil","782"
"bmd783",0.406869703751,"before","metro+doxil","783"
"bmd784",0.84684397596242,"before","metro+doxil","784"
"bmd785",0.433072292919674,"before","metro+doxil","785"
"bmd786",0.845553090573764,"before","metro+doxil","786"
"bmd787",0.840871910994713,"before","metro+doxil","787"
