feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin
ac351	65211.2621070123	65211.2621070123	149507.540614755	785281.197278233	0
ac352	79084.0601836198	79084.0601836198	233092.453419118	687823.486397262	0
ac353	180675.803267222	180675.803267222	104388.449817039	714935.74691574	0
ac354	54036.1080940213	54036.1080940213	184771.147475475	761192.744430503	0
ac355	219278.570995635	257522.207666903	85025.2377215456	657452.554611552	0
ac356	72669.8079306917	72669.8079306917	255187.878430225	672142.313639083	0
bc351	0	0	134119.122897516	777969.562460272	87911.314642212
bc352	0	0	152446.705343899	819260.992006101	28292.3026500004
bc353	117746.160461772	117746.160461772	0	867086.58867126	15167.2508669676
bc354	89988.931332671	89988.931332671	0	898816.291147606	11194.7775197229
bc355	78812.0092395982	78812.0092395982	0	900772.831740506	20415.1590198959
bc356	45358.9790609151	45358.9790609151	0	954641.020939085	0
