feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin	glycopeptide.antibiotic
ad363	14.0800270828448	14.0800270828448	18.0415365104389	19.4139279196612	13.8104908562797	12.8482244961006
ad364	14.6218730441435	14.6218730441435	15.4085342560658	19.8087696845535	15.7829711719082	12.8482244961006
ad365	15.7911772040408	15.7911772040408	16.6770054315437	19.6646789767489	12.8544513788915	12.8482244961006
ad366	14.409557548535	14.409557548535	17.7100014963221	19.4966363600147	14.5567835017182	12.8482244961006
ad367	13.0327666869114	13.0327666869114	18.3877137563569	19.3008867723275	13.446185258052	12.8482244961006
ad368	14.0327666869114	14.0327666869114	19.2602478034187	18.4387109081957	11.8544513788915	12.8482244961006
bd363	14.198824812707	14.198824812707	17.1343390317681	19.6754398134488	11.8544513788915	12.8482244961006
bd364	14.9226772973234	14.9226772973234	15.4085342560658	19.8738850246644	12.9901760580358	12.8482244961006
bd365	14.8167814484497	14.8167814484497	16.4085342560658	19.7166439787804	12.9315859239405	13.8482244961006
bd366	15.4190869143789	15.4190869143789	15.4085342560658	19.8438054687395	13.8923453607822	12.8482244961006
bd367	14.7451438460422	14.7451438460422	15.4085342560658	19.8409446141986	15.0284931496749	12.8482244961006
bd368	15.0053600438394	15.0053600438394	15.4085342560658	19.7722635664931	15.202257194362	15.0513026611854
