feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin	glycopeptide.antibiotic	mupirocin.like.antibiotic
amd782	14.4302470944094	14.4302470944094	18.7983253468299	18.0738968538921	13.4884680415339	12.7206084394219	17.7978483528739
amd783	14.2418389017733	14.2418389017733	18.5273657729774	18.723400492591	14.1931446449812	13.4252850428692	17.0976374378236
amd784	16.3842917588755	16.3842917588755	18.3626783507668	18.8334983980148	14.8077275066402	11.7206084394219	16.3158082879852
amd785	16.6642468480794	16.6642468480794	17.402473851199	19.2804718654243	13.1313530675011	11.7206084394219	16.2349325104142
amd786	16.0870440583189	16.0870440583189	17.5542034510724	19.3659126720127	12.4428566333135	11.7206084394219	15.7913611015086
amd787	15.1955992012853	15.1955992012853	17.9465611228924	19.1588951739429	12.3311622369429	11.7206084394219	16.8651756017988
bmd782	14.303087545265	14.303087545265	16.402473851199	19.8275149905328	15.5913649029651	11.7206084394219	14.7913611015086
bmd783	14.4738806847689	14.4738806847689	16.402473851199	19.8430460986372	15.1658409488269	11.7206084394219	14.7913611015086
bmd784	11.9889663013977	11.9889663013977	19.508183049132	17.482820272741	11.3311622369429	11.7206084394219	16.1187324607151
bmd785	12.9889663013977	12.9889663013977	16.402473851199	19.8789519830911	14.7567853943504	11.7206084394219	14.7913611015086
bmd786	11.9889663013977	11.9889663013977	19.6285731192899	16.5014632533023	11.3311622369429	11.7206084394219	16.5605772451441
bmd787	11.9889663013977	11.9889663013977	19.6623017093902	17.3773707609744	11.3311622369429	11.7206084394219	14.7913611015086
