feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin	glycopeptide.antibiotic
am357	230995.451435807	230995.451435807	20221.7421271985	748782.806436995	0	0
am358	129840.541850832	129840.541850832	0	870159.458149168	0	0
am359	128018.655837524	128018.655837524	0	871981.344162476	0	0
am360	53036.1728906521	53036.1728906521	129541.97946149	811258.374438751	6163.47320910649	0
am361	57209.8076688356	57209.8076688356	78211.7494606219	808690.987006955	6754.67152044365	49132.7843431445
am362	25605.1765802753	25605.1765802753	410854.94359689	539158.24010041	13843.2255179613	10538.4142044635
bm357	125318.443253412	125318.443253412	0	874681.556746588	0	0
bm358	14043.7236633165	14043.7236633165	0	958323.558014209	27632.7183224744	0
bm359	31021.6078110726	31021.6078110726	0	954892.52659399	14085.8655949373	0
bm360	18671.8977820895	18671.8977820895	0	962365.930082427	18962.1721354838	0
bm361	20227.098401357	20227.098401357	0	948283.382658837	31489.5189398062	0
bm362	68977.9146534896	68977.9146534896	0	912138.754897333	0	18883.3304491772
