feature	lincosamide.antibiotic	macrolide.antibiotic	rifamycin.antibiotic	tetracycline.antibiotic	cephalosporin	glycopeptide.antibiotic
am357	17.8175049180452	17.8175049180452	14.3036196720427	19.5141877825514	11.5895278449108	12.363370169534
am358	16.986381400106	16.986381400106	13.3036196720427	19.7309202758594	11.5895278449108	12.363370169534
am359	16.9659945403111	16.9659945403111	13.3036196720427	19.7339377436452	11.5895278449108	12.363370169534
am360	15.6946890533619	15.6946890533619	16.9830601688484	19.6298019402437	12.5895278449108	12.363370169534
am361	15.8039748737957	15.8039748737957	16.2550977340805	19.6252290069098	12.7216698976846	15.5843983781382
am362	14.6441478878887	14.6441478878887	18.6482696004803	19.04034923295	13.7568925144743	13.363370169534
bm357	16.9352392277412	16.9352392277412	13.3036196720427	19.7383983483856	11.5895278449108	12.363370169534
bm358	13.777637893421	13.777637893421	13.3036196720427	19.8701533086151	14.7540898713941	12.363370169534
bm359	14.9209858409379	14.9209858409379	13.3036196720427	19.8649788410144	13.7819606014911	12.363370169534
bm360	14.1885809478027	14.1885809478027	13.3036196720427	19.8762260432069	14.2108366153889	12.363370169534
bm361	14.3040017581599	14.3040017581599	13.3036196720427	19.8549587294073	14.9425840973766	12.363370169534
bm362	16.0738468933215	16.0738468933215	13.3036196720427	19.798893778844	11.5895278449108	14.2048256145233
