feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.O.	Mef.En2.
bc351	134119.122897516	747003.258419448	87911.314642212	30966.3040408238	0	0
ac351	149507.540614755	752794.227053035	0	18547.4227869102	6862.54643115679	65211.2621070123
bc352	152446.705343899	791430.754712286	28292.3026500004	27830.2372938145	0	0
ac352	233092.453419118	675370.767167409	0	12452.7192298532	0	79084.0601836198
bc353	0	810173.995246118	15167.2508669676	56912.5934251423	0	117746.160461772
ac353	104388.449817039	625087.311710072	0	63495.6512600207	8075.85314463388	180675.803267222
bc354	0	873247.089225409	11194.7775197229	25569.2019221975	0	89988.931332671
ac354	184771.147475475	737539.123068596	0	23653.6213619071	0	54036.1080940213
bc355	0	889928.918921298	20415.1590198959	10843.9128192076	0	78812.0092395982
ac355	85025.2377215456	657452.554611552	0	0	0	194903.505864498
bc356	0	948240.771875383	0	6400.2490637023	0	45358.9790609151
ac356	255187.878430225	672142.313639083	0	0	0	72669.8079306917
