feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	timepoint	after	1.71800482367485	0.631830035495837	12	7	0.0215939089744211	0.139348301820866
tet.Q.	timepoint	after	-0.505228369405638	0.160313450760309	12	12	0.0253360548765212	0.139348301820866
CfxA6	timepoint	after	-0.486321551741687	0.32961598449222	12	2	0.170877446128579	0.310561365679651
tet.32.	timepoint	after	0.816367447329796	0.519773697625547	12	3	0.177069635798969	0.310561365679651
Mef.En2.	timepoint	after	-0.523284351558947	0.378963816143129	12	11	0.225862811403383	0.310561365679651
tet.W.32.O.	timepoint	after	0.531144206137413	0.369218687655716	12	2	0.199870096671732	0.310561365679651
vanR.gene.in.vanG.cluster	timepoint	after	-0.533846360847462	0.371644405259579	12	2	0.202552459559511	0.310561365679651
tet.44.	timepoint	after	0.428887561184993	0.281159887444666	12	2	0.177983720511261	0.310561365679651
tet.40.	timepoint	after	0.827560711442364	0.769199278344542	12	10	0.307255469854857	0.375534463155936
tet.O.	timepoint	after	0.724113853597402	0.80331517902545	12	6	0.38856633375882	0.427422967134703
CblA.1	timepoint	after	0.436104553570952	0.677127070482334	12	10	0.534034772937863	0.534034772937863
