feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.32.	tet.O.	Mef.En2.	tet.W.32.O.	CblA.1	vanR.gene.in.vanG.cluster	tet.44.
bd363	143863.295468531	808725.103553419	0	16583.8664984458	0	12022.7849655451	18804.9495140586	0	0	0	0
ad363	269801.063668152	652584.636645613	0	14346.7585606144	16141.8277507105	8070.91387535525	17318.5086834359	7369.09527749827	14367.195538621	0	0
bd364	0	955771.192097505	0	0	5034.40157220748	0	31057.9997489417	0	8136.40658134542	0	0
ad364	0	805006.097988675	0	47640.7800041866	23410.9770489323	42346.3261326276	25212.8754872903	0	56382.9433382881	0	0
bd365	86988.3305223537	851614.300116224	0	9976.89366300743	0	0	28859.9553720258	0	7812.59397949788	14747.9263468911	0
ad365	104780.115477597	777648.966729081	0	11299.8488376793	0	30618.5985556846	56704.5626617614	0	7405.85906108774	0	11542.0486771087
bd366	0	940980.60964262	0	0	0	0	43813.4716727249	0	15205.9186846546	0	0
ad366	214408.339616667	649673.255982516	0	73278.9559059189	0	0	21762.5131403515	16776.3009677113	24100.6343868356	0	0
bd367	0	925166.741692107	22801.4126737027	13949.7586136412	0	0	27461.9004216859	0	10620.1865988627	0	0
ad367	342967.835316013	617752.719599411	0	20361.376697619	0	0	0	0	11161.0509305467	0	7757.01745640962
bd368	0	782443.192119441	12068.0610476441	88597.9518682077	0	24415.196007015	32889.9693626837	0	25631.423935535	33954.2056594732	0
ad368	627931.56201303	334494.264455905	0	13795.3934972162	0	7018.40644170872	16760.3735921402	0	0	0	0
