feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.32.	tet.O.	Mef.En2.	tet.W.32.O.	CblA.1	vanR.gene.in.vanG.cluster	tet.44.
bd363	17.1343390317681	19.6252898691365	12.5589062792003	14.0174927873368	11.2976045832281	13.5534835011057	14.198824812707	11.8472717915283	11.8544513788915	12.8482244961006	11.9212863329552
ad363	18.0415365104389	19.3158054978824	12.5589062792003	13.8084371975117	13.9785163248065	12.9785163248065	14.0800270828448	12.8472717915283	13.8104908562797	12.8482244961006	11.9212863329552
bd364	15.4085342560658	19.8663057584008	12.5589062792003	12.2843749825326	12.2976045832281	11.7769277824818	14.9226772973234	11.8472717915283	12.9901760580358	12.8482244961006	11.9212863329552
ad364	15.4085342560658	19.6186401862413	12.5589062792003	15.5399094136364	14.5148975256284	15.3699491897173	14.6218730441435	11.8472717915283	15.7829711719082	12.8482244961006	11.9212863329552
bd365	16.4085342560658	19.6998406498418	12.5589062792003	13.2843749825326	11.2976045832281	11.7769277824818	14.8167814484497	11.8472717915283	12.9315859239405	13.8482244961006	11.9212863329552
ad365	16.6770054315437	19.5687595393592	12.5589062792003	13.4640158528457	11.2976045832281	14.9021206302828	15.7911772040408	11.8472717915283	12.8544513788915	12.8482244961006	13.4946117000652
bd366	15.4085342560658	19.8438054687395	12.5589062792003	12.2843749825326	11.2976045832281	11.7769277824818	15.4190869143789	11.8472717915283	13.8923453607822	12.8482244961006	11.9212863329552
ad366	17.7100014963221	19.3093547918183	12.5589062792003	16.1611113273063	11.2976045832281	11.7769277824818	14.409557548535	14.0341370283528	14.5567835017182	12.8482244961006	11.9212863329552
bd367	15.4085342560658	19.8193538786964	14.4768355896504	13.7679525374522	11.2976045832281	11.7769277824818	14.7451438460422	11.8472717915283	13.3745214943628	12.8482244961006	11.9212863329552
ad367	18.3877137563569	19.2366699313368	12.5589062792003	14.3135474894739	11.2976045832281	11.7769277824818	13.0327666869114	11.8472717915283	13.446185258052	12.8482244961006	12.9212863329552
bd368	15.4085342560658	19.5776264860058	13.5589062792003	16.4349857277233	11.2976045832281	14.5754917396347	15.0053600438394	11.8472717915283	14.6456260083027	15.0513026611854	11.9212863329552
ad368	19.2602478034187	18.3516219477491	12.5589062792003	13.7518989879902	11.2976045832281	12.7769277824818	14.0327666869114	11.8472717915283	11.8544513788915	12.8482244961006	11.9212863329552
