feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.O.	Mef.En2.	tet.W.32.O.	CblA.1	vanR.gene.in.vanG.cluster	Bifidobacterium.bifidum.ileS.conferring.resistance.to.mupirocin
bmd782	0	918292.918092501	12238.166443104	12122.1852237415	0	20214.2848711967	0	37132.4453694565	0	0
amd782	455889.718295399	268543.245164208	0	0	0	22076.8557643332	3644.53862888361	11493.001835356	6749.70362025571	227869.506876611
bmd783	0	915535.702034842	14760.240603004	15251.0397581899	9698.70809622389	22754.7589793574	0	21999.5505283831	0	0
amd783	377826.868086196	385811.36799523	0	39183.3449550938	0	19374.0627867168	7823.14276365418	18731.0563738821	11000.5271755087	140249.629863719
bmd784	745672.726388018	88289.7453614006	0	46899.8598209701	29825.3796048982	0	18154.578889938	0	0	71157.7099347751
amd784	337067.581013994	452594.146636551	0	8138.75025796426	0	85538.8243767042	6408.05470459656	28679.4056709217	0	81573.2373392686
bmd785	0	947576.935434804	22968.5312213203	6882.61257476859	9726.46985392644	8129.58674358031	0	4715.8641716007	0	0
amd785	173247.361019731	618309.523780633	0	9603.39116364113	8883.13682636805	103857.569860522	0	8972.86548117985	0	77126.1518679248
bmd786	810567.676246328	33853.8213484752	0	29470.9319847055	0	0	29451.1969856086	0	0	96656.3734348822
amd786	192460.57933936	653396.768184849	0	8438.31105329226	5863.11236466166	69611.7902811672	0	5567.66476904469	0	56711.7911402873
bmd787	829741.091520389	0	0	105946.233764658	0	0	0	0	0	0
amd787	252611.557770546	570828.160510822	0	14503.655612971	0	37525.9038676124	0	5152.87627401851	0	119377.84596403
