feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	timepoint	after	2.16259474788017	0.889800921084807	12	4	0.0511226136693069	0.266231668617859
CfxA6	timepoint	after	-2.23577547680198	0.866525136518684	12	6	0.0274086742841729	0.266231668617859
Mef.En2.	timepoint	after	1.2854000186874	0.629954739598456	12	12	0.0968115158610396	0.266231668617859
CblA.1	timepoint	after	0.863902075437106	0.431120157610609	12	3	0.091950448208203	0.266231668617859
tet.Q.	timepoint	after	-0.171403606309193	0.130466745268025	12	12	0.218263175326843	0.300111866074409
tet.40.	timepoint	after	-1.06367772227875	0.611756296106354	12	10	0.142578535767822	0.300111866074409
tet.W.32.O.	timepoint	after	-0.271236107099719	0.178160738579176	12	3	0.188396581506586	0.300111866074409
vanS.gene.in.vanG.cluster	timepoint	after	0.530648448466247	0.368774059048833	12	2	0.201507053652506	0.300111866074409
tet.W.	timepoint	after	-0.285098341318429	0.408809016351036	12	4	0.516648734440813	0.63145956431655
tet.O.	timepoint	after	-0.356548835717793	0.803918333547675	12	6	0.675927979848618	0.742449526138902
vanR.gene.in.vanG.cluster	timepoint	after	0.197389346172291	0.568220973930641	12	3	0.742449526138902	0.742449526138902
