feature	Bifidobacterium.adolescentis.rpoB.mutants.conferring.resistance.to.rifampicin	tet.Q.	CfxA6	tet.40.	tet.O.	Mef.En2.	tet.W.32.O.	tet.W.	CblA.1	vanR.gene.in.vanG.cluster	vanS.gene.in.vanG.cluster
bm357	0	874681.556746588	0	0	0	125318.443253412	0	0	0	0	0
am357	20221.7421271985	733936.493578898	0	6337.71304103155	3582.56834402756	230995.451435807	0	4926.03147303789	0	0	0
bm358	0	759857.758855398	27632.7183224744	41613.589036756	93449.7350287815	14043.7236633165	5513.25870376292	8269.88805564438	0	0	0
am358	0	839614.239608831	0	12297.5088273111	13406.4806054883	129840.541850832	0	4841.22910753744	0	0	0
bm359	0	655042.700042582	14085.8655949373	65111.077328277	144009.634737407	31021.6078110726	12178.4046289562	9438.26358744108	0	0	0
am359	0	798682.597770825	0	40661.049005426	24754.1956021124	128018.655837524	7883.50178411223	0	0	0	0
bm360	0	953442.13332995	18962.1721354838	8923.79675247678	0	18671.8977820895	0	0	0	0	0
am360	129541.97946149	803014.162525872	0	0	8244.2119128793	53036.1728906521	0	0	6163.47320910649	0	0
bm361	0	938294.078534334	31489.5189398062	9989.30412450309	0	20227.098401357	0	0	0	0	0
am361	78211.7494606219	803679.664224431	2965.77868870166	5011.32278252361	0	57209.8076688356	0	0	3788.89283174199	21457.0138543355	9339.3898001933
bm362	0	890239.659143005	0	21899.0957543283	0	68977.9146534896	0	0	0	18883.3304491772	0
am362	410854.94359689	535164.984836501	3263.56404098626	3993.25526390948	0	25605.1765802753	0	0	10579.661476975	6427.56172140006	4110.85248306345
