feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
ac351	83758.6848939225	149507.540614755	766733.774491322	149507.540614755	0
ac352	91536.779413473	233092.453419118	675370.767167409	233092.453419118	0
ac353	244171.454527243	104388.449817039	651440.095655719	104388.449817039	0
ac354	77689.7294559284	184771.147475475	737539.123068596	184771.147475475	0
ac355	194903.505864498	109400.302852683	695696.19128282	85025.2377215456	0
ac356	72669.8079306917	255187.878430225	672142.313639083	255187.878430225	0
bc351	30966.3040408238	134119.122897516	747003.258419448	134119.122897516	87911.314642212
bc352	27830.2372938145	152446.705343899	791430.754712286	152446.705343899	28292.3026500004
bc353	174658.753886914	0	810173.995246118	0	15167.2508669676
bc354	115558.133254869	0	873247.089225409	0	11194.7775197229
bc355	89655.9220588058	0	889928.918921298	0	20415.1590198959
bc356	51759.2281246174	0	948240.771875383	0	0
