feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
ac351	16.3539511700523	17.1898587249683	19.5483662061494	17.1898587249683	12.4505382365134
ac352	16.4820639132845	17.8305427710912	19.3653202093414	17.8305427710912	12.4505382365134
ac353	17.897535022759	16.6716025664834	19.3132729937154	16.6716025664834	12.4505382365134
ac354	16.2454362672124	17.4953799679665	19.4923600541851	17.4953799679665	12.4505382365134
ac355	17.572400516022	16.7392572063832	19.4080978968633	16.3756035141105	12.4505382365134
ac356	16.149068472774	17.9612002763298	19.3584072036373	17.9612002763298	12.4505382365134
bc351	14.9184115810906	17.0331554278799	19.5107550104839	17.0331554278799	16.4237612392037
bc352	14.7643655893742	17.2179454458053	19.5941036034431	17.2179454458053	14.7881219789258
bc353	17.4141794267759	15.6716025664833	19.6278722529547	15.3756035141105	13.8886719938085
bc354	16.8182592781067	15.6716025664833	19.7360304031625	15.3756035141105	13.4505382365134
bc355	16.4521112603865	15.6716025664833	19.7633305830832	15.3756035141105	14.3173531847477
bc356	15.6595284824075	15.6716025664833	19.8548939009517	15.3756035141105	12.4505382365134
