feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
ad363	31665.2672440503	269801.063668152	684166.473549177	269801.063668152	14367.195538621
ad364	72853.6554914769	0	870763.401170235	0	56382.9433382881
ad365	68004.4114994407	104780.115477597	819809.613961874	104780.115477597	7405.85906108774
ad366	95041.4690462704	214408.339616667	666449.556950227	214408.339616667	24100.6343868356
ad367	20361.376697619	342967.835316013	625509.737055821	342967.835316013	11161.0509305467
ad368	30555.7670893564	627931.56201303	341512.670897614	627931.56201303	0
bd363	35388.8160125044	143863.295468531	820747.888518964	143863.295468531	0
bd364	31057.9997489417	0	960805.593669712	0	8136.40658134542
bd365	38836.8490350332	101736.256869245	851614.300116224	86988.3305223537	7812.59397949788
bd366	43813.4716727249	0	940980.60964262	0	15205.9186846546
bd367	41411.6590353271	0	925166.741692107	0	33421.5992725654
bd368	121487.921230891	33954.2056594732	806858.388126456	0	37699.4849831791
