feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
ad363	14.9506136348609	18.0415365104389	19.3839878833812	18.0415365104389	13.8104908562797
ad364	16.1527137420536	14.0513026611854	19.7319212456976	15.4085342560658	15.7829711719082
ad365	16.0533407177055	16.6770054315437	19.6449293830894	16.6770054315437	12.8544513788915
ad366	16.5362695154502	17.7100014963221	19.3461361574153	17.7100014963221	14.5567835017182
ad367	14.3135474894739	18.3877137563569	19.25467281685	18.3877137563569	13.446185258052
ad368	14.8991570792659	19.2602478034187	18.3815795812158	19.2602478034187	11.8544513788915
bd363	15.1110058745293	17.1343390317681	19.6465796077186	17.1343390317681	11.8544513788915
bd364	14.9226772973234	14.0513026611854	19.8738850246644	15.4085342560658	12.9901760580358
bd365	15.2451385343246	16.6344743943759	19.6998406498418	16.4085342560658	12.9315859239405
bd366	15.4190869143789	14.0513026611854	19.8438054687395	15.4085342560658	13.8923453607822
bd367	15.337749380714	14.0513026611854	19.8193538786964	15.4085342560658	15.0284931496749
bd368	16.8904533574321	15.0513026611854	19.6219559624687	15.4085342560658	15.202257194362
