feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
amd782	22076.8557643332	690508.928792266	275921.213608046	455889.718295399	11493.001835356
amd783	58557.4077418106	529077.025125424	393634.510758884	377826.868086196	18731.0563738821
amd784	93677.5746346685	418640.818353263	459002.201341148	337067.581013994	28679.4056709217
amd785	113460.961024163	250373.512887656	627192.660607001	173247.361019731	8972.86548117985
amd786	78050.1013344595	249172.370479647	667209.863416848	192460.57933936	5567.66476904469
amd787	52029.5594805834	371989.403734576	570828.160510822	252611.557770546	5152.87627401851
bmd782	32336.4700949382	0	918292.918092501	0	49370.6118125605
bmd783	38005.7987375473	0	925234.410131066	0	36759.7911313871
bmd784	46899.8598209701	816830.436322793	136269.703856237	745672.726388018	0
bmd785	15012.1993183489	0	957303.40528873	0	27684.395392921
bmd786	29470.9319847055	907224.04968121	63305.0183340838	810567.676246328	0
bmd787	105946.233764658	829741.091520389	64312.6747149526	829741.091520389	0
