feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
amd782	14.4302470944094	19.397300544157	18.0738968538921	18.7983253468299	13.4884680415339
amd783	15.8375640684034	19.0131182453152	18.5864971847433	18.5273657729774	14.1931446449812
amd784	16.5154161036824	18.6753534586651	18.8081415471529	18.3626783507668	14.8077275066402
amd785	16.7918364633619	17.9337224215043	19.258549151607	17.402473851199	13.1313530675011
amd786	16.252112884842	17.9267845781843	19.3477810908534	17.5542034510724	12.4428566333135
amd787	15.667043872029	18.5049020006161	19.1226969830893	17.9465611228924	12.3311622369429
bmd782	14.9808745798677	16.9267845781843	19.8085948939505	16.402473851199	15.5913649029651
bmd783	15.2139319342021	16.9267845781843	19.8194593962716	16.402473851199	15.1658409488269
bmd784	15.5172959902241	19.6396770986274	17.0561053252468	19.508183049132	11.3311622369429
bmd785	13.8738477298087	16.9267845781843	19.8686167156925	16.402473851199	14.7567853943504
bmd786	14.8470050643226	19.7910993597521	15.9500322494831	19.6285731192899	11.3311622369429
bmd787	16.6929727773368	19.6623017093902	15.9728154708572	19.6623017093902	11.3311622369429
