feature	antibiotic.efflux	antibiotic.target.alteration	antibiotic.target.protection	antibiotic.target.replacement	antibiotic.inactivation
am357	237333.164476839	20221.7421271985	742445.093395963	20221.7421271985	0
am358	142138.050678143	0	857861.949321857	0	0
am359	168679.70484295	0	831320.29515705	0	0
am360	53036.1728906521	129541.97946149	811258.374438751	129541.97946149	6163.47320910649
am361	62221.1304513592	127344.533803766	803679.664224431	78211.7494606219	6754.67152044365
am362	29598.4318441848	421393.357801354	535164.984836501	410854.94359689	13843.2255179613
bm357	125318.443253412	0	874681.556746588	0	0
bm358	55657.3127000725	0	916709.968977453	0	27632.7183224744
bm359	96132.6851393496	0	889781.449265713	0	14085.8655949373
bm360	27595.6945345663	0	953442.13332995	0	18962.1721354838
bm361	30216.4025258601	0	938294.078534334	0	31489.5189398062
bm362	90877.0104078179	18883.3304491772	890239.659143005	0	0
