"","sample","timepoint","treatment","mouse"
"1","ac351","after","control",351
"2","ac352","after","control",352
"3","ac353","after","control",353
"4","ac354","after","control",354
"5","ac355","after","control",355
"6","ac356","after","control",356
"7","ad363","after","doxil",363
"8","ad364","after","doxil",364
"9","ad365","after","doxil",365
"10","ad366","after","doxil",366
"11","ad367","after","doxil",367
"12","ad368","after","doxil",368
"13","am357","after","metro",357
"14","am358","after","metro",358
"15","am359","after","metro",359
"16","am360","after","metro",360
"17","am361","after","metro",361
"18","am362","after","metro",362
"19","amd782","after","metro+doxil",782
"20","amd783","after","metro+doxil",783
"21","amd784","after","metro+doxil",784
"22","amd785","after","metro+doxil",785
"23","amd786","after","metro+doxil",786
"24","amd787","after","metro+doxil",787
"25","bc351","before","control",351
"26","bc352","before","control",352
"27","bc353","before","control",353
"28","bc354","before","control",354
"29","bc355","before","control",355
"30","bc356","before","control",356
"31","bd363","before","doxil",363
"32","bd364","before","doxil",364
"33","bd365","before","doxil",365
"34","bd366","before","doxil",366
"35","bd367","before","doxil",367
"36","bd368","before","doxil",368
"37","bm357","before","metro",357
"38","bm358","before","metro",358
"39","bm359","before","metro",359
"40","bm360","before","metro",360
"41","bm361","before","metro",361
"42","bm362","before","metro",362
"43","bmd782","before","metro+doxil",782
"44","bmd783","before","metro+doxil",783
"45","bmd784","before","metro+doxil",784
"46","bmd785","before","metro+doxil",785
"47","bmd786","before","metro+doxil",786
"48","bmd787","before","metro+doxil",787
