"sample","mouse","treatment","timepoint","aro_term","amr_gene_family","drug_class","resistance_mechanism","tpm"
"ac351","351","control","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",18547.4227869102
"ac351","351","control","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",752794.227053035
"ac351","351","control","after","tet(32)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",7077.00100713044
"ac351","351","control","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",6862.54643115679
"ac351","351","control","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",65211.2621070123
"ac351","351","control","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",149507.540614755
"ac352","352","control","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",675370.767167409
"ac352","352","control","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",79084.0601836198
"ac352","352","control","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",233092.453419118
"ac352","352","control","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",12452.7192298532
"ac353","353","control","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",625087.311710072
"ac353","353","control","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",8075.85314463388
"ac353","353","control","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",180675.803267222
"ac353","353","control","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",104388.449817039
"ac353","353","control","after","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",18276.9308010135
"ac353","353","control","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",63495.6512600207
"ac354","354","control","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",23653.6213619071
"ac354","354","control","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",737539.123068596
"ac354","354","control","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",54036.1080940213
"ac354","354","control","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",184771.147475475
"ac355","355","control","after","ErmG","Erm 23S ribosomal RNA methyltransferase","macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic","antibiotic target alteration",24375.0651311374
"ac355","355","control","after","mel","msr-type ABC-F protein","macrolide antibiotic; streptogramin antibiotic","antibiotic target protection",38243.6366712674
"ac355","355","control","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",657452.554611552
"ac355","355","control","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",194903.505864498
"ac355","355","control","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",85025.2377215456
"ac356","356","control","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",672142.313639083
"ac356","356","control","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",72669.8079306917
"ac356","356","control","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",255187.878430225
"ad363","363","doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",14367.195538621
"ad363","363","doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",14346.7585606144
"ad363","363","doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",652584.636645613
"ad363","363","doxil","after","tet(32)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",16141.8277507105
"ad363","363","doxil","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",8070.91387535525
"ad363","363","doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",17318.5086834359
"ad363","363","doxil","after","Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin","rifamycin-resistant beta-subunit of RNA polymerase (rpoB)","rifamycin antibiotic","antibiotic target alteration; antibiotic target replacement",269801.063668152
"ad363","363","doxil","after","tet(W/32/O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",7369.09527749827
"ad364","364","doxil","after","tet(40)","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux",47640.7800041866
"ad364","364","doxil","after","CblA-1","CblA beta-lactamase","cephalosporin","antibiotic inactivation",56382.9433382881
"ad364","364","doxil","after","tet(Q)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",805006.097988675
"ad364","364","doxil","after","tet(32)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",23410.9770489323
"ad364","364","doxil","after","tet(O)","tetracycline-resistant ribosomal protection protein","tetracycline antibiotic","antibiotic target protection",42346.3261326276
"ad364","364","doxil","after","Mef(En2)","major facilitator superfamily (MFS) antibiotic efflux pump","macrolide antibiotic; lincosamide antibiotic","antibiotic efflux",25212.8754872903
