clade	ac351	ac352	ac353	ac354	ac355	ac356	ad363	ad364	ad365	ad366	ad367	ad368	am357	am358	am359	am360	am361	am362	amd782	amd783	amd784	amd785	amd786	amd787	bc351	bc352	bc353	bc354	bc355	bc356	bd363	bd364	bd365	bd366	bd367	bd368	bm357	bm358	bm359	bm360	bm361	bm362	bmd782	bmd783	bmd784	bmd785	bmd786	bmd787
k__Bacteria	29306105	31322317	35151856	46957963	30282456	40101533	37920536	25947056	25991349	28934178	27180415	30151303	32335627	21108729	26904908	36013841	34957557	37322013	34662400	36328960	30915795	25644459	34721857	24559358	39094994	36317975	40045942	28412934	50822045	40264641	32843455	26716030	18910004	25710059	31471070	29117881	32202038	26027177	14679847	16979987	22260395	17964895	30794105	32607699	38728393	28191153	38196829	23416601
k__Bacteria|p__Actinobacteria	2902299	2943586	355793	1075098	478522	3410343	1243841	313803	577852	278466	1093022	3663305	904930	110554	180568	1562598	2055890	5729455	5285809	2136993	1985384	1651955	2839410	1840319	363616	825874	268210	237444	317249	525783	2076586	302748	1014739	335806	1033479	1125249	150631	443923	119191	444923	785984	339129	701877	399803	707468	3128210	1964424	611550
k__Bacteria|p__Bacteria_unclassified	227878	116945	690565	214429	64922	23229	398536	586521	241107	375471	220073	94686	36351	119814	604901	346176	429022	324834	199296	376827	75050	686428	586949	323924	314337	132776	218265	108041	101393	57557	212029	46243	63087	144697	32312	645092	21648	1741363	748503	132455	114586	43966	193962	184415	164491	447375	189617	183945
k__Bacteria|p__Bacteroidota	18904390	21914643	28812203	37375297	24573365	26559314	31405962	18607872	17726639	19223053	17403080	16245877	21302599	16900502	21046218	30440273	23096820	21391440	20364852	23513636	25563833	18200427	16609251	15280742	35051375	33003677	36753763	25263875	47236823	36030220	24758099	25373806	14195858	23231439	23653695	14795259	27800367	17044055	9106367	15364605	19710581	16267096	27117883	28900840	33438111	22045085	31597650	19261934
k__Bacteria|p__Candidatus_Melainabacteria	0	0	0	0	0	0	12263	1709	3622	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	289	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria	3402	461	2881	5852	0	830	5659	3543	2060	7704	929	1053	1055	6433	5803	14936	3280	4307	7514	13440	2222	12393	22175	14254	0	899	7127	3243	4529	3574	3324	1194	316	631	635	481	451	3032	490	660	673	1681	4293	2348	0	4721	0	0
k__Bacteria|p__Firmicutes	5642478	4289003	5239303	7419525	3357137	9758315	4619623	6218775	6496095	8861325	7652564	9986018	5896225	1712843	3441304	3251013	9076167	9304628	8390245	9804833	2937565	4702468	13996255	6883170	2872903	2121188	2605091	1905808	2249822	2889355	5298273	825140	3228162	1805756	6505661	11762379	1489174	6351318	4506634	859761	1439773	1199817	2570073	2843886	4312066	2288687	4338283	3263002
k__Bacteria|p__Proteobacteria	67384	206594	51111	463772	157451	312929	234652	214833	916690	187957	808280	160364	121151	202819	239604	393301	295414	565557	270832	472110	335442	388966	658914	211492	313146	196858	193486	416235	483741	414185	495144	166899	407842	190768	242047	786483	278039	443486	198662	177583	208798	97085	205992	244393	86998	274861	76218	88505
k__Bacteria|p__Tenericutes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Verrucomicrobia	1558274	1851085	0	403990	1651059	36573	0	0	27284	0	2467	0	4073316	2055764	1386510	5544	964	1792	143852	11121	14958	1822	8903	5457	179617	36703	0	478288	428488	343967	0	0	0	962	3241	2938	2461728	0	0	0	0	16121	0	31725	19259	2214	30637	7665
k__Bacteria|p__Actinobacteria|c__Actinomycetia	651825	392887	37272	432540	162133	418533	742629	0	169460	76198	553482	1909125	102218	5857	9542	953261	835110	3430024	3769431	1804029	1775637	782209	841123	920239	117724	236346	248	2521	746	0	67665	0	65907	13367	0	0	144	0	0	0	0	17335	0	8286	190579	0	292013	78326
k__Bacteria|p__Actinobacteria|c__CFGB77153	11618	9236	13765	8920	1411	11324	6821	4343	3195	670	10898	23748	175	6013	9485	19759	72071	113689	35196	23897	4910	94137	137018	62228	3051	12612	0	4193	8450	5662	30098	4808	8273	7046	40093	12799	2286	6048	887	7014	4026	1814	12627	8728	9478	69171	78673	59932
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2238856	2541463	304756	633638	314978	2980486	494391	309460	405197	201598	528642	1730432	802537	98684	161541	589578	1148709	2185742	1481182	309067	204837	775609	1861269	857852	242841	576916	267962	230730	308053	520121	1978823	297940	940559	315393	993386	1112450	148201	437875	118304	437909	781958	319980	689250	382789	507411	3059039	1593738	473292
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified	126452	86076	569507	162883	58562	18747	333452	557235	205437	333957	206200	93045	36351	113817	576544	344638	418485	324834	190596	358299	70445	672418	519431	290532	248996	45774	116017	84500	77583	55149	184514	41165	52439	129907	30116	565223	21648	1497217	693948	117275	104693	29598	177732	168927	129081	402039	144355	118712
k__Bacteria|p__Bacteria_unclassified|c__CFGB77303	0	7530	59172	47419	2865	4482	24897	10549	7240	23406	12588	0	0	5997	28357	1538	10537	0	8700	18528	4298	14010	52792	33392	19473	12433	28703	17854	12860	0	6148	3873	6193	4351	2196	35721	0	54370	13156	4271	3860	3496	12979	10919	20166	17454	16281	24426
k__Bacteria|p__Bacteria_unclassified|c__CFGB77359	101426	23339	61886	4127	3495	0	40187	18737	28430	18108	1285	1641	0	0	0	0	0	0	0	0	307	0	14726	0	45868	74569	73545	5687	10950	2408	21367	1205	4455	10439	0	44148	0	189776	41399	10909	6033	10872	3251	4569	15244	27882	28981	40807
k__Bacteria|p__Bacteroidota|c__Bacteroidia	17992999	21667962	26345667	37229794	24046263	26419660	30985812	18406139	17659900	18741995	17259007	16108151	20701156	16793334	20804891	29728592	22767339	20802282	20083890	23134444	25252491	17531435	16472699	15065364	35051375	33003677	36266350	25119719	46987681	35528706	24633798	25265453	14131115	23137560	23362274	14670143	26150383	16900983	9033806	15309969	19599216	16148231	26648711	28650476	33438111	21616154	31597650	19261934
k__Bacteria|p__Bacteroidota|c__CFGB37573	0	2846	8618	19455	0	81536	21293	11443	484	12289	532	7400	0	2780	14212	0	3980	45662	5536	8620	2192	2279	9398	6811	0	0	10366	1614	4811	0	3451	3173	512	1241	337	0	0	6377	3343	2441	8241	6007	9260	8838	0	12660	0	0
k__Bacteria|p__Bacteroidota|c__CFGB50354	748333	179841	2407095	95426	512548	42901	278982	126964	48385	400794	101012	74461	601443	101775	219192	699526	299567	476392	222282	299691	281626	601660	100659	180734	0	0	430498	105565	205100	435066	77665	103232	43770	60196	193193	99077	1556711	94219	55952	29003	71915	91204	396263	195095	0	234544	0	0
k__Bacteria|p__Bacteroidota|c__CFGB9388	163058	63994	50823	30622	14554	15217	119875	63326	17870	67975	42529	55865	0	2613	7923	12155	25934	67104	53144	70881	27524	65053	26495	27833	0	0	46549	36977	39231	66448	43185	1948	20461	32442	97891	26039	93273	42476	13266	23192	31209	21654	63649	46431	0	181727	0	0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB10197	0	0	0	0	0	0	12263	1709	3622	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	289	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__CFGB9318	3402	461	2881	5852	0	830	5659	3543	2060	7704	929	1053	1055	6433	5803	14936	3280	4307	7514	13440	2222	12393	22175	14254	0	899	7127	3243	4529	3574	3324	1194	316	631	635	481	451	3032	490	660	673	1681	4293	2348	0	4721	0	0
k__Bacteria|p__Firmicutes|c__Bacilli	145022	214088	88317	66082	11392	5925	28999	19135	17621	20637	20327	147100	33215	7683	35024	83205	498218	587632	141329	37223	13002	481532	847119	1123260	1790	29396	90853	21812	20935	23679	163869	24434	24602	15943	47652	37252	13964	11232	2331	11187	8129	19124	27892	36305	18961	244515	163673	39545
k__Bacteria|p__Firmicutes|c__CFGB10213	0	0	0	0	0	0	0	0	0	0	0	0	1731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10289	0	0	0	0	0	0	203	612	0	926	0	0	11224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254	0	1595	76	416	0	89	0	0	976	0	0	0	0	0	13	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10290	0	0	0	2098	0	0	3304	3159	0	914	12148	6810	2082	1951	3127	10061	0	2835	3156	0	4387	30007	26212	14515	13280	18	1244	760	207	2284	3160	3068	382	0	2079	0	141	817	1105	0	2190	0	4136	3631	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10299	0	227	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1272	0
