ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
srmB	3002828	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces ambofaciens	14.00	12.00	26.00	5.26	87.00	11.85	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
myrA	3001300	protein homolog model	CARD	1	100.0	no data	no data	Micromonospora griseorubida	2.00	0.00	2.00	6.42	57.00	22.00	0	0	0	0	N/A	N/A		888	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic; lincosamide antibiotic	antibiotic target alteration
macB	3000535	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	19.00	15.00	34.00	8.22	159.00	12.29	0	0	0	0	N/A	N/A		1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
tet(W)	3000194	protein homolog model	CARD	1	100.0	no data	no data	Butyrivibrio fibrisolvens	30.00	1.00	31.00	82.24	1579.00	13.77	0	0	0	0	N/A	N/A	tet(W/N/W) (1)	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
vanV gene in vanB cluster	3004254	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	4.00	0.00	4.00	37.10	128.00	22.00	0	0	0	0	N/A	N/A		345	glycopeptide resistance gene cluster; vanV	glycopeptide antibiotic	antibiotic target alteration
tet(40)	3000567	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	120.00	16.00	136.00	100.00	1221.00	37.28	0	0	0	0	N/A	N/A		1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
vanR gene in vanA cluster	3002919	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	2.00	2.00	4.00	5.17	36.00	11.00	0	0	0	0	N/A	N/A		696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
lmrC	3002881	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces lincolnensis	1.00	1.00	2.00	2.30	38.00	11.00	0	0	0	0	N/A	N/A		1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic	antibiotic target protection
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	23.00	1.00	24.00	89.36	890.00	10.75	0	0	0	0	N/A	N/A		996	CfxA beta-lactamase	cephalosporin	antibiotic inactivation
smeE	3003056	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	1.00	1.00	2.00	1.34	42.00	1.00	0	0	0	0	N/A	N/A		3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
tet(44)	3000556	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	2.00	0.00	2.00	15.39	296.00	24.00	0	0	0	0	N/A	N/A		1923	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
tet(Q)	3000191	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	2084.00	128.00	2212.00	100.00	1974.00	39.60	0	0	0	0	N/A	N/A		1974	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
oleB	3003036	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces antibioticus	7.00	7.00	14.00	1.93	33.00	8.14	0	0	0	0	N/A	N/A		1710	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	macrolide antibiotic	antibiotic target protection
vanH gene in vanD cluster	3002944	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	1.00	1.00	2.00	15.33	149.00	11.00	0	0	0	0	N/A	N/A		972	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
smeR	3003066	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	9.00	9.00	18.00	12.17	84.00	11.00	0	0	0	0	N/A	N/A		690	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam	antibiotic efflux
